Config file: ../input/config/mla_v_cycle-refine2.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 19158, matrix Column = 19158
matrix nz_allocated = 387515, matrix nz_used = 387515, matrix nz_unneeded = 0
vector Row = 19158
initial     || b ||_2 = 7.2042734251691598e-01
in level 1:
in level 2:
nodes in level 2 (coarse) is 49, less than 100, setup done!
>>>> setup time: 0.205388 (s)
0 MLA ||r(i)||/||b|| 1.0000000000000000e+00
1 MLA ||r(i)||/||b|| 9.9711623221606729e+00
2 MLA ||r(i)||/||b|| 1.0960373560084662e+01
3 MLA ||r(i)||/||b|| 1.0795136904899449e+01
4 MLA ||r(i)||/||b|| 1.0286782565744984e+01
5 MLA ||r(i)||/||b|| 9.6603998844673438e+00
6 MLA ||r(i)||/||b|| 9.0023908422556147e+00
7 MLA ||r(i)||/||b|| 8.3507873615865389e+00
8 MLA ||r(i)||/||b|| 7.7231436802445259e+00
9 MLA ||r(i)||/||b|| 7.1274078042792048e+00
10 MLA ||r(i)||/||b|| 6.5667740825491032e+00
11 MLA ||r(i)||/||b|| 6.0420198860664218e+00
12 MLA ||r(i)||/||b|| 5.5526770969214763e+00
13 MLA ||r(i)||/||b|| 5.0976325484996448e+00
14 MLA ||r(i)||/||b|| 4.6754407221698528e+00
15 MLA ||r(i)||/||b|| 4.2844897331652856e+00
16 MLA ||r(i)||/||b|| 3.9230921572720030e+00
17 MLA ||r(i)||/||b|| 3.5895371560319123e+00
18 MLA ||r(i)||/||b|| 3.2821223897768483e+00
19 MLA ||r(i)||/||b|| 2.9991750158354185e+00
20 MLA ||r(i)||/||b|| 2.7390663926434335e+00
21 MLA ||r(i)||/||b|| 2.5002227857768662e+00
22 MLA ||r(i)||/||b|| 2.2811332359305188e+00
23 MLA ||r(i)||/||b|| 2.0803552131129992e+00
24 MLA ||r(i)||/||b|| 1.8965184389197272e+00
25 MLA ||r(i)||/||b|| 1.7283271626105658e+00
26 MLA ||r(i)||/||b|| 1.5745611112497566e+00
27 MLA ||r(i)||/||b|| 1.4340753385981697e+00
28 MLA ||r(i)||/||b|| 1.3057991558006106e+00
29 MLA ||r(i)||/||b|| 1.1887343276229079e+00
30 MLA ||r(i)||/||b|| 1.0819526937331516e+00
31 MLA ||r(i)||/||b|| 9.8459335817595228e-01
32 MLA ||r(i)||/||b|| 8.9585957277184358e-01
33 MLA ||r(i)||/||b|| 8.1501541612575223e-01
34 MLA ||r(i)||/||b|| 7.4138236172295091e-01
35 MLA ||r(i)||/||b|| 6.7433580379997016e-01
36 MLA ||r(i)||/||b|| 6.1330159973288745e-01
37 MLA ||r(i)||/||b|| 5.5775267651858129e-01
38 MLA ||r(i)||/||b|| 5.0720573410723813e-01
39 MLA ||r(i)||/||b|| 4.6121807290434869e-01
40 MLA ||r(i)||/||b|| 4.1938456142509378e-01
41 MLA ||r(i)||/||b|| 3.8133476172873115e-01
42 MLA ||r(i)||/||b|| 3.4673021133340237e-01
43 MLA ||r(i)||/||b|| 3.1526187237365166e-01
44 MLA ||r(i)||/||b|| 2.8664774349252131e-01
45 MLA ||r(i)||/||b|| 2.6063063285820603e-01
46 MLA ||r(i)||/||b|| 2.3697608816409471e-01
47 MLA ||r(i)||/||b|| 2.1547047696235941e-01
48 MLA ||r(i)||/||b|| 1.9591921242784829e-01
49 MLA ||r(i)||/||b|| 1.7814511474045175e-01
50 MLA ||r(i)||/||b|| 1.6198690167457694e-01
51 MLA ||r(i)||/||b|| 1.4729780115279020e-01
52 MLA ||r(i)||/||b|| 1.3394427620114580e-01
53 MLA ||r(i)||/||b|| 1.2180485667159342e-01
54 MLA ||r(i)||/||b|| 1.1076906703091598e-01
55 MLA ||r(i)||/||b|| 1.0073644796640129e-01
56 MLA ||r(i)||/||b|| 9.1615658939744549e-02
57 MLA ||r(i)||/||b|| 8.3323661093638354e-02
58 MLA ||r(i)||/||b|| 7.5784968406769196e-02
59 MLA ||r(i)||/||b|| 6.8930967247540470e-02
60 MLA ||r(i)||/||b|| 6.2699294620422300e-02
61 MLA ||r(i)||/||b|| 5.7033270705064663e-02
62 MLA ||r(i)||/||b|| 5.1881384791786611e-02
63 MLA ||r(i)||/||b|| 4.7196823419979703e-02
64 MLA ||r(i)||/||b|| 4.2937044667909395e-02
65 MLA ||r(i)||/||b|| 3.9063387710235327e-02
66 MLA ||r(i)||/||b|| 3.5540719521359343e-02
67 MLA ||r(i)||/||b|| 3.2337112631130586e-02
68 MLA ||r(i)||/||b|| 2.9423553484123746e-02
69 MLA ||r(i)||/||b|| 2.6773674608881439e-02
70 MLA ||r(i)||/||b|| 2.4363513989460250e-02
71 MLA ||r(i)||/||b|| 2.2171295076798964e-02
72 MLA ||r(i)||/||b|| 2.0177226825886060e-02
73 MLA ||r(i)||/||b|| 1.8363322032078230e-02
74 MLA ||r(i)||/||b|| 1.6713233206935345e-02
75 MLA ||r(i)||/||b|| 1.5212101706314866e-02
76 MLA ||r(i)||/||b|| 1.3846422299396238e-02
77 MLA ||r(i)||/||b|| 1.2603918699569309e-02
78 MLA ||r(i)||/||b|| 1.1473432803489322e-02
79 MLA ||r(i)||/||b|| 1.0444820653584408e-02
80 MLA ||r(i)||/||b|| 9.5088616845385582e-03
81 MLA ||r(i)||/||b|| 8.6571725239221048e-03
82 MLA ||r(i)||/||b|| 7.8821320961837884e-03
83 MLA ||r(i)||/||b|| 7.1768118953151562e-03
84 MLA ||r(i)||/||b|| 6.5349113632999258e-03
85 MLA ||r(i)||/||b|| 5.9507025890189165e-03
86 MLA ||r(i)||/||b|| 5.4189770724950249e-03
87 MLA ||r(i)||/||b|| 4.9349986844293729e-03
88 MLA ||r(i)||/||b|| 4.4944603890265614e-03
89 MLA ||r(i)||/||b|| 4.0934453853616552e-03
90 MLA ||r(i)||/||b|| 3.7283910980258515e-03
91 MLA ||r(i)||/||b|| 3.3960584557106805e-03
92 MLA ||r(i)||/||b|| 3.0935006573684898e-03
93 MLA ||r(i)||/||b|| 2.8180380007142894e-03
94 MLA ||r(i)||/||b|| 2.5672321946143728e-03
95 MLA ||r(i)||/||b|| 2.3388659784607576e-03
96 MLA ||r(i)||/||b|| 2.1309225019633224e-03
97 MLA ||r(i)||/||b|| 1.9415663480575045e-03
98 MLA ||r(i)||/||b|| 1.7691282404197278e-03
99 MLA ||r(i)||/||b|| 1.6120891933163295e-03
100 MLA ||r(i)||/||b|| 1.4690676064988725e-03
101 MLA ||r(i)||/||b|| 1.3388061105150516e-03
102 MLA ||r(i)||/||b|| 1.2201603797302523e-03
103 MLA ||r(i)||/||b|| 1.1120896185913584e-03
104 MLA ||r(i)||/||b|| 1.0136465106283701e-03
105 MLA ||r(i)||/||b|| 9.2396872611056518e-04
106 MLA ||r(i)||/||b|| 8.4227233677587263e-04
107 MLA ||r(i)||/||b|| 7.6784292936902382e-04
108 MLA ||r(i)||/||b|| 7.0003082048347405e-04
109 MLA ||r(i)||/||b|| 6.3824455344707956e-04
110 MLA ||r(i)||/||b|| 5.8194584896392721e-04
111 MLA ||r(i)||/||b|| 5.3064457729185748e-04
112 MLA ||r(i)||/||b|| 4.8389485203694703e-04
113 MLA ||r(i)||/||b|| 4.4129051398556391e-04
114 MLA ||r(i)||/||b|| 4.0246190273447101e-04
115 MLA ||r(i)||/||b|| 3.6707238758710241e-04
116 MLA ||r(i)||/||b|| 3.3481578273155820e-04
117 MLA ||r(i)||/||b|| 3.0541323575745196e-04
118 MLA ||r(i)||/||b|| 2.7861063838112844e-04
119 MLA ||r(i)||/||b|| 2.5417657716599723e-04
120 MLA ||r(i)||/||b|| 2.3190072303524913e-04
121 MLA ||r(i)||/||b|| 2.1159096274604990e-04
122 MLA ||r(i)||/||b|| 1.9307289137132684e-04
123 MLA ||r(i)||/||b|| 1.7618729065868352e-04
124 MLA ||r(i)||/||b|| 1.6078966520492903e-04
125 MLA ||r(i)||/||b|| 1.4674779202459182e-04
126 MLA ||r(i)||/||b|| 1.3394147248025514e-04
127 MLA ||r(i)||/||b|| 1.2226126508307263e-04
128 MLA ||r(i)||/||b|| 1.1160761546535050e-04
129 MLA ||r(i)||/||b|| 1.0188974074467143e-04
130 MLA ||r(i)||/||b|| 9.3024774536585634e-05
131 MLA ||r(i)||/||b|| 8.4937331725052067e-05
132 MLA ||r(i)||/||b|| 7.7558653073744570e-05
133 MLA ||r(i)||/||b|| 7.0826412440164259e-05
134 MLA ||r(i)||/||b|| 6.4683365956756981e-05
135 MLA ||r(i)||/||b|| 5.9077598640672634e-05
136 MLA ||r(i)||/||b|| 5.3961902511406186e-05
137 MLA ||r(i)||/||b|| 4.9292927396990232e-05
138 MLA ||r(i)||/||b|| 4.5031438582576448e-05
139 MLA ||r(i)||/||b|| 4.1141618155750896e-05
140 MLA ||r(i)||/||b|| 3.7590837147229736e-05
141 MLA ||r(i)||/||b|| 3.4349061048196750e-05
142 MLA ||r(i)||/||b|| 3.1389619189435070e-05
143 MLA ||r(i)||/||b|| 2.8687410584645101e-05
144 MLA ||r(i)||/||b|| 2.6219762243426727e-05
145 MLA ||r(i)||/||b|| 2.3966536267220955e-05
146 MLA ||r(i)||/||b|| 2.1908724401454011e-05
147 MLA ||r(i)||/||b|| 2.0029176032726184e-05
148 MLA ||r(i)||/||b|| 1.8312488435855333e-05
149 MLA ||r(i)||/||b|| 1.6744382589116367e-05
150 MLA ||r(i)||/||b|| 1.5311924878566480e-05
151 MLA ||r(i)||/||b|| 1.4003139324969636e-05
152 MLA ||r(i)||/||b|| 1.2807216998241044e-05
153 MLA ||r(i)||/||b|| 1.1714301023461073e-05
154 MLA ||r(i)||/||b|| 1.0715664155952836e-05
155 MLA ||r(i)||/||b|| 9.8032372133245235e-06
156 MLA ||r(i)||/||b|| 8.9689558791961472e-06
157 MLA ||r(i)||/||b|| 8.2065299156173078e-06
158 MLA ||r(i)||/||b|| 7.5097246939540216e-06
159 MLA ||r(i)||/||b|| 6.8724351212383791e-06
160 MLA ||r(i)||/||b|| 6.2899259579933475e-06
161 MLA ||r(i)||/||b|| 5.7572629494521488e-06
162 MLA ||r(i)||/||b|| 5.2702299437816088e-06
163 MLA ||r(i)||/||b|| 4.8246249106184004e-06
164 MLA ||r(i)||/||b|| 4.4172958548730280e-06
165 MLA ||r(i)||/||b|| 4.0447302568822950e-06
166 MLA ||r(i)||/||b|| 3.7037685061236002e-06
167 MLA ||r(i)||/||b|| 3.3918267655967037e-06
168 MLA ||r(i)||/||b|| 3.1064928176798599e-06
169 MLA ||r(i)||/||b|| 2.8454369468868307e-06
170 MLA ||r(i)||/||b|| 2.6064893343779228e-06
171 MLA ||r(i)||/||b|| 2.3877624904907297e-06
172 MLA ||r(i)||/||b|| 2.1877979720725279e-06
173 MLA ||r(i)||/||b|| 2.0047098019663574e-06
174 MLA ||r(i)||/||b|| 1.8369615633393557e-06
175 MLA ||r(i)||/||b|| 1.6833984063442676e-06
176 MLA ||r(i)||/||b|| 1.5428637483930278e-06
177 MLA ||r(i)||/||b|| 1.4142992026299649e-06
178 MLA ||r(i)||/||b|| 1.2963382158163581e-06
179 MLA ||r(i)||/||b|| 1.1884743404624114e-06
180 MLA ||r(i)||/||b|| 1.0895090551571958e-06
181 MLA ||r(i)||/||b|| 9.9907451787071417e-07
182 MLA ||r(i)||/||b|| 9.1612211709186483e-07
183 MLA ||r(i)||/||b|| 8.4008907068458575e-07
184 MLA ||r(i)||/||b|| 7.7036422195643433e-07
185 MLA ||r(i)||/||b|| 7.0658115486204223e-07
186 MLA ||r(i)||/||b|| 6.4817435941744552e-07
187 MLA ||r(i)||/||b|| 5.9467739054834090e-07
188 MLA ||r(i)||/||b|| 5.4549819937398848e-07
189 MLA ||r(i)||/||b|| 5.0051505585819546e-07
190 MLA ||r(i)||/||b|| 4.5921705352990980e-07
191 MLA ||r(i)||/||b|| 4.2132589575594934e-07
192 MLA ||r(i)||/||b|| 3.8675835437924319e-07
193 MLA ||r(i)||/||b|| 3.5491718079648376e-07
194 MLA ||r(i)||/||b|| 3.2577667358928262e-07
195 MLA ||r(i)||/||b|| 2.9899693208308038e-07
196 MLA ||r(i)||/||b|| 2.7450904881216804e-07
197 MLA ||r(i)||/||b|| 2.5209482222775678e-07
198 MLA ||r(i)||/||b|| 2.3141393638022961e-07
199 MLA ||r(i)||/||b|| 2.1250159676826243e-07
200 MLA ||r(i)||/||b|| 1.9506687564081166e-07
201 MLA ||r(i)||/||b|| 1.7913596136085376e-07
202 MLA ||r(i)||/||b|| 1.6456443123467936e-07
203 MLA ||r(i)||/||b|| 1.5113583361230774e-07
204 MLA ||r(i)||/||b|| 1.3887295725908885e-07
205 MLA ||r(i)||/||b|| 1.2738328948172131e-07
206 MLA ||r(i)||/||b|| 1.1703395685350674e-07
207 MLA ||r(i)||/||b|| 1.0765667065680552e-07
208 MLA ||r(i)||/||b|| 9.8854586635736371e-08
209 MLA ||r(i)||/||b|| 9.0809073904307597e-08
210 MLA ||r(i)||/||b|| 8.3400709347204122e-08
211 MLA ||r(i)||/||b|| 7.6760099266948795e-08
212 MLA ||r(i)||/||b|| 7.0522627887549312e-08
213 MLA ||r(i)||/||b|| 6.4891862487190427e-08
214 MLA ||r(i)||/||b|| 5.9615365392560737e-08
215 MLA ||r(i)||/||b|| 5.4856539182766233e-08
216 MLA ||r(i)||/||b|| 5.0423017210072095e-08
217 MLA ||r(i)||/||b|| 4.6214434293874937e-08
218 MLA ||r(i)||/||b|| 4.2465630018564387e-08
219 MLA ||r(i)||/||b|| 3.9132552636404586e-08
220 MLA ||r(i)||/||b|| 3.5971712832536210e-08
221 MLA ||r(i)||/||b|| 3.3102828362115538e-08
222 MLA ||r(i)||/||b|| 3.0401717594605471e-08
223 MLA ||r(i)||/||b|| 2.7986333858350181e-08
224 MLA ||r(i)||/||b|| 2.5771853515851631e-08
225 MLA ||r(i)||/||b|| 2.3655598453098829e-08
226 MLA ||r(i)||/||b|| 2.1804136573220281e-08
227 MLA ||r(i)||/||b|| 2.0069552090929940e-08
228 MLA ||r(i)||/||b|| 1.8402025460266894e-08
229 MLA ||r(i)||/||b|| 1.6989892309525093e-08
230 MLA ||r(i)||/||b|| 1.5677514850557419e-08
231 MLA ||r(i)||/||b|| 1.4507204445803766e-08
232 MLA ||r(i)||/||b|| 1.3271544711838391e-08
233 MLA ||r(i)||/||b|| 1.2179517356457620e-08
234 MLA ||r(i)||/||b|| 1.1183522625969576e-08
235 MLA ||r(i)||/||b|| 1.0334078952827384e-08
236 MLA ||r(i)||/||b|| 9.5526794007086588e-09
>>>> solve time: 1.61828 (s)
>>>> ksp solve time: 0.0350699 (s)
            || b ||_2 = 7.2042734251691598e-01
|| r ||_2 / || b ||_2 = 2.1516647020548739e+01
