Config file: ../input/config/mla_v_cycle-refine2.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 19158, matrix Column = 19158
matrix nz_allocated = 387515, matrix nz_used = 387515, matrix nz_unneeded = 0
vector Row = 19158
initial     || b ||_2 = 7.2042734251691598e-01
in level 1:
in level 2:
nodes in level 2 (coarse) is 49, less than 100, setup done!
>>>> setup time: 0.220225 (s)
0 MLA ||r(i)||/||b|| 1.0000000000000000e+00
1 MLA ||r(i)||/||b|| 9.9711623221609962e+00
2 MLA ||r(i)||/||b|| 7.2099329519179323e+00
3 MLA ||r(i)||/||b|| 6.2024479709580502e+00
4 MLA ||r(i)||/||b|| 5.4963730024248028e+00
5 MLA ||r(i)||/||b|| 4.8386482243332232e+00
6 MLA ||r(i)||/||b|| 4.1865523145227934e+00
7 MLA ||r(i)||/||b|| 3.5919913723455985e+00
8 MLA ||r(i)||/||b|| 3.1099213919306692e+00
9 MLA ||r(i)||/||b|| 2.7526386747787290e+00
10 MLA ||r(i)||/||b|| 2.5142218524625077e+00
11 MLA ||r(i)||/||b|| 2.3808184706211564e+00
12 MLA ||r(i)||/||b|| 2.3237201973719159e+00
13 MLA ||r(i)||/||b|| 2.3039528592519196e+00
14 MLA ||r(i)||/||b|| 2.2867040268816958e+00
15 MLA ||r(i)||/||b|| 2.2503193898205405e+00
16 MLA ||r(i)||/||b|| 2.1864296205016016e+00
17 MLA ||r(i)||/||b|| 2.0958797783306604e+00
18 MLA ||r(i)||/||b|| 1.9844148461628479e+00
19 MLA ||r(i)||/||b|| 1.8596010598534884e+00
20 MLA ||r(i)||/||b|| 1.7290487472030911e+00
21 MLA ||r(i)||/||b|| 1.5995254278538158e+00
22 MLA ||r(i)||/||b|| 1.4765395649530939e+00
23 MLA ||r(i)||/||b|| 1.3641339728896062e+00
24 MLA ||r(i)||/||b|| 1.2647920196633544e+00
25 MLA ||r(i)||/||b|| 1.1794620787333927e+00
26 MLA ||r(i)||/||b|| 1.1077334315217333e+00
27 MLA ||r(i)||/||b|| 1.0481647414228947e+00
28 MLA ||r(i)||/||b|| 9.9870827861993550e-01
29 MLA ||r(i)||/||b|| 9.5713326696963452e-01
30 MLA ||r(i)||/||b|| 9.2135805378111946e-01
31 MLA ||r(i)||/||b|| 8.8964527730722287e-01
32 MLA ||r(i)||/||b|| 8.6066544861355398e-01
33 MLA ||r(i)||/||b|| 8.3346698288649801e-01
34 MLA ||r(i)||/||b|| 8.0739919867239418e-01
35 MLA ||r(i)||/||b|| 7.8202685842367481e-01
36 MLA ||r(i)||/||b|| 7.5706025328311422e-01
37 MLA ||r(i)||/||b|| 7.3231030083245507e-01
38 MLA ||r(i)||/||b|| 7.0766695845268268e-01
39 MLA ||r(i)||/||b|| 6.8309271000757488e-01
40 MLA ||r(i)||/||b|| 6.5862090756450375e-01
41 MLA ||r(i)||/||b|| 6.3435039687500239e-01
42 MLA ||r(i)||/||b|| 6.1043165768382857e-01
43 MLA ||r(i)||/||b|| 5.8704411810676949e-01
44 MLA ||r(i)||/||b|| 5.6436807207453732e-01
45 MLA ||r(i)||/||b|| 5.4255689712859123e-01
46 MLA ||r(i)||/||b|| 5.2171562298219643e-01
47 MLA ||r(i)||/||b|| 5.0189039320683249e-01
48 MLA ||r(i)||/||b|| 4.8307050988745770e-01
49 MLA ||r(i)||/||b|| 4.6520146251219463e-01
50 MLA ||r(i)||/||b|| 4.4820467400359454e-01
51 MLA ||r(i)||/||b|| 4.3199843456251086e-01
52 MLA ||r(i)||/||b|| 4.1651488006119514e-01
53 MLA ||r(i)||/||b|| 4.0170955367749778e-01
54 MLA ||r(i)||/||b|| 3.8756237937129123e-01
55 MLA ||r(i)||/||b|| 3.7407107263680328e-01
56 MLA ||r(i)||/||b|| 3.6123961606393679e-01
57 MLA ||r(i)||/||b|| 3.4906520747478192e-01
58 MLA ||r(i)||/||b|| 3.3752701503002380e-01
59 MLA ||r(i)||/||b|| 3.2657928226525851e-01
60 MLA ||r(i)||/||b|| 3.1615006170481380e-01
61 MLA ||r(i)||/||b|| 3.0614545990909742e-01
62 MLA ||r(i)||/||b|| 2.9645809340447959e-01
63 MLA ||r(i)||/||b|| 2.8697775924971086e-01
64 MLA ||r(i)||/||b|| 2.7760220338734892e-01
65 MLA ||r(i)||/||b|| 2.6824623723960489e-01
66 MLA ||r(i)||/||b|| 2.5884810092690841e-01
67 MLA ||r(i)||/||b|| 2.4937266576265268e-01
68 MLA ||r(i)||/||b|| 2.3981164536617508e-01
69 MLA ||r(i)||/||b|| 2.3018136025552713e-01
70 MLA ||r(i)||/||b|| 2.2051877625395569e-01
71 MLA ||r(i)||/||b|| 2.1087655012059717e-01
72 MLA ||r(i)||/||b|| 2.0131773013032922e-01
73 MLA ||r(i)||/||b|| 1.9191061629720652e-01
74 MLA ||r(i)||/||b|| 1.8272413699668247e-01
75 MLA ||r(i)||/||b|| 1.7382395387728972e-01
76 MLA ||r(i)||/||b|| 1.6526939169466121e-01
77 MLA ||r(i)||/||b|| 1.5711120016580535e-01
78 MLA ||r(i)||/||b|| 1.4939009547572368e-01
79 MLA ||r(i)||/||b|| 1.4213599291872331e-01
80 MLA ||r(i)||/||b|| 1.3536782836829003e-01
81 MLA ||r(i)||/||b|| 1.2909386432930153e-01
82 MLA ||r(i)||/||b|| 1.2331238418063609e-01
83 MLA ||r(i)||/||b|| 1.1801268809984136e-01
84 MLA ||r(i)||/||b|| 1.1317631347149543e-01
85 MLA ||r(i)||/||b|| 1.0877840845085869e-01
86 MLA ||r(i)||/||b|| 1.0478919045046008e-01
87 MLA ||r(i)||/||b|| 1.0117542303748511e-01
88 MLA ||r(i)||/||b|| 9.7901845646791386e-02
89 MLA ||r(i)||/||b|| 9.4932498089039960e-02
90 MLA ||r(i)||/||b|| 9.2231889564697037e-02
91 MLA ||r(i)||/||b|| 8.9765976812132761e-02
92 MLA ||r(i)||/||b|| 8.7502930972564716e-02
93 MLA ||r(i)||/||b|| 8.5413689219275432e-02
94 MLA ||r(i)||/||b|| 8.3472301065433241e-02
95 MLA ||r(i)||/||b|| 8.1656090492122149e-02
96 MLA ||r(i)||/||b|| 7.9945660837355270e-02
97 MLA ||r(i)||/||b|| 7.8324773603728359e-02
98 MLA ||r(i)||/||b|| 7.6780132895030495e-02
99 MLA ||r(i)||/||b|| 7.5301103057191357e-02
100 MLA ||r(i)||/||b|| 7.3879386774322653e-02
101 MLA ||r(i)||/||b|| 7.2508684396125095e-02
102 MLA ||r(i)||/||b|| 7.1184352674286466e-02
103 MLA ||r(i)||/||b|| 6.9903076995722846e-02
104 MLA ||r(i)||/||b|| 6.8662566757677221e-02
105 MLA ||r(i)||/||b|| 6.7461281328337605e-02
106 MLA ||r(i)||/||b|| 6.6298191330182860e-02
107 MLA ||r(i)||/||b|| 6.5172576111489869e-02
108 MLA ||r(i)||/||b|| 6.4083859187646364e-02
109 MLA ||r(i)||/||b|| 6.3031478272392000e-02
110 MLA ||r(i)||/||b|| 6.2014788978341735e-02
111 MLA ||r(i)||/||b|| 6.1032998026272246e-02
112 MLA ||r(i)||/||b|| 6.0085122449076871e-02
113 MLA ||r(i)||/||b|| 5.9169970669106349e-02
114 MLA ||r(i)||/||b|| 5.8286141478826478e-02
115 MLA ||r(i)||/||b|| 5.7432038397931116e-02
116 MLA ||r(i)||/||b|| 5.6605893912371280e-02
117 MLA ||r(i)||/||b|| 5.5805802556733917e-02
118 MLA ||r(i)||/||b|| 5.5029759145481423e-02
119 MLA ||r(i)||/||b|| 5.4275699808481681e-02
120 MLA ||r(i)||/||b|| 5.3541543711697344e-02
121 MLA ||r(i)||/||b|| 5.2825234551595171e-02
122 MLA ||r(i)||/||b|| 5.2124778645813566e-02
123 MLA ||r(i)||/||b|| 5.1438279773307151e-02
124 MLA ||r(i)||/||b|| 5.0763969030582681e-02
125 MLA ||r(i)||/||b|| 5.0100229498528749e-02
126 MLA ||r(i)||/||b|| 4.9445614288362486e-02
127 MLA ||r(i)||/||b|| 4.8798858963369274e-02
128 MLA ||r(i)||/||b|| 4.8158887688075011e-02
129 MLA ||r(i)||/||b|| 4.7524813553624840e-02
130 MLA ||r(i)||/||b|| 4.6895933600663534e-02
131 MLA ||r(i)||/||b|| 4.6271719673195141e-02
132 MLA ||r(i)||/||b|| 4.5651805307997076e-02
133 MLA ||r(i)||/||b|| 4.5035969655433016e-02
134 MLA ||r(i)||/||b|| 4.4424119734330615e-02
135 MLA ||r(i)||/||b|| 4.3816271528221262e-02
136 MLA ||r(i)||/||b|| 4.3212530590023016e-02
137 MLA ||r(i)||/||b|| 4.2613073272774686e-02
138 MLA ||r(i)||/||b|| 4.2018129015830560e-02
139 MLA ||r(i)||/||b|| 4.1427963531810837e-02
140 MLA ||r(i)||/||b|| 4.0842863978416855e-02
141 MLA ||r(i)||/||b|| 4.0263126673429669e-02
142 MLA ||r(i)||/||b|| 3.9689045685352115e-02
143 MLA ||r(i)||/||b|| 3.9120904161293740e-02
144 MLA ||r(i)||/||b|| 3.8558967645837709e-02
145 MLA ||r(i)||/||b|| 3.8003478561120387e-02
146 MLA ||r(i)||/||b|| 3.7454653301210519e-02
147 MLA ||r(i)||/||b|| 3.6912679353355189e-02
148 MLA ||r(i)||/||b|| 3.6377714992758138e-02
