Config file: ../input/config/mla_v_cycle-refine1.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 5340, matrix Column = 5340
matrix nz_allocated = 104619, matrix nz_used = 104619, matrix nz_unneeded = 0
vector Row = 5340
initial     || b ||_2 = 1.3851994067587832e+00
in level 1:
nodes in level 1 (coarse) is 55, less than 100, setup done!
>>>> setup time: 0.0452683 (s)
0 MLA ||r(i)||/||b|| 1.0000000000000000e+00
1 MLA ||r(i)||/||b|| 1.1232264776360138e+01
2 MLA ||r(i)||/||b|| 1.0624129381806123e+01
3 MLA ||r(i)||/||b|| 8.8329892930902218e+00
4 MLA ||r(i)||/||b|| 7.1376904801553733e+00
5 MLA ||r(i)||/||b|| 5.7317980978800804e+00
6 MLA ||r(i)||/||b|| 4.6108876166974371e+00
7 MLA ||r(i)||/||b|| 3.7240350219165399e+00
8 MLA ||r(i)||/||b|| 3.0192918580211221e+00
9 MLA ||r(i)||/||b|| 2.4549333903601389e+00
10 MLA ||r(i)||/||b|| 1.9997157149922558e+00
11 MLA ||r(i)||/||b|| 1.6305143667699298e+00
12 MLA ||r(i)||/||b|| 1.3299866661472053e+00
13 MLA ||r(i)||/||b|| 1.0848396295735558e+00
14 MLA ||r(i)||/||b|| 8.8466164649706336e-01
15 MLA ||r(i)||/||b|| 7.2115368539871361e-01
16 MLA ||r(i)||/||b|| 5.8761726201693421e-01
17 MLA ||r(i)||/||b|| 4.7860182549576047e-01
18 MLA ||r(i)||/||b|| 3.8965128032112006e-01
19 MLA ||r(i)||/||b|| 3.1711386553646931e-01
20 MLA ||r(i)||/||b|| 2.5799439099973148e-01
21 MLA ||r(i)||/||b|| 2.0983635285327565e-01
22 MLA ||r(i)||/||b|| 1.7062624815767558e-01
23 MLA ||r(i)||/||b|| 1.3871511081613994e-01
24 MLA ||r(i)||/||b|| 1.1275382354628515e-01
25 MLA ||r(i)||/||b|| 9.1639674372981011e-02
26 MLA ||r(i)||/||b|| 7.4472194073047199e-02
27 MLA ||r(i)||/||b|| 6.0516692594149525e-02
28 MLA ||r(i)||/||b|| 4.9174200133893210e-02
29 MLA ||r(i)||/||b|| 3.9956724450169984e-02
30 MLA ||r(i)||/||b|| 3.2466922497774157e-02
31 MLA ||r(i)||/||b|| 2.6381423701212950e-02
32 MLA ||r(i)||/||b|| 2.1437171132262484e-02
33 MLA ||r(i)||/||b|| 1.7420248800987297e-02
34 MLA ||r(i)||/||b|| 1.4156752893544133e-02
35 MLA ||r(i)||/||b|| 1.1505342438336808e-02
36 MLA ||r(i)||/||b|| 9.3511645598657080e-03
37 MLA ||r(i)||/||b|| 7.6009045781904542e-03
38 MLA ||r(i)||/||b|| 6.1787563861277501e-03
39 MLA ||r(i)||/||b|| 5.0231424932844840e-03
40 MLA ||r(i)||/||b|| 4.0840462682156208e-03
41 MLA ||r(i)||/||b|| 3.3208432409145830e-03
42 MLA ||r(i)||/||b|| 2.7005377003958462e-03
43 MLA ||r(i)||/||b|| 2.1963301521560731e-03
44 MLA ||r(i)||/||b|| 1.7864535456581906e-03
45 MLA ||r(i)||/||b|| 1.4532270991437358e-03
46 MLA ||r(i)||/||b|| 1.1822894663119457e-03
47 MLA ||r(i)||/||b|| 9.6197410021552944e-04
48 MLA ||r(i)||/||b|| 7.8280351666303960e-04
49 MLA ||r(i)||/||b|| 6.3707775767661123e-04
50 MLA ||r(i)||/||b|| 5.1854062886353487e-04
51 MLA ||r(i)||/||b|| 4.2210850551185376e-04
52 MLA ||r(i)||/||b|| 3.4365015421797984e-04
53 MLA ||r(i)||/||b|| 2.7980803273951649e-04
54 MLA ||r(i)||/||b|| 2.2785319926064594e-04
55 MLA ||r(i)||/||b|| 1.8556726673878572e-04
56 MLA ||r(i)||/||b|| 1.5114671641926883e-04
57 MLA ||r(i)||/||b|| 1.2312523712470686e-04
58 MLA ||r(i)||/||b|| 1.0031051463438270e-04
59 MLA ||r(i)||/||b|| 8.1732745125578625e-05
60 MLA ||r(i)||/||b|| 6.6603355333877095e-05
61 MLA ||r(i)||/||b|| 5.4280781189077485e-05
62 MLA ||r(i)||/||b|| 4.4243073581160468e-05
63 MLA ||r(i)||/||b|| 3.6065719927726220e-05
64 MLA ||r(i)||/||b|| 2.9403009090286459e-05
65 MLA ||r(i)||/||b|| 2.3973930338419017e-05
66 MLA ||r(i)||/||b|| 1.9549334004181567e-05
67 MLA ||r(i)||/||b|| 1.5943133448515764e-05
68 MLA ||r(i)||/||b|| 1.3003429990035056e-05
69 MLA ||r(i)||/||b|| 1.0607052225836926e-05
70 MLA ||r(i)||/||b|| 8.6530888247947925e-06
71 MLA ||r(i)||/||b|| 7.0598523821860713e-06
72 MLA ||r(i)||/||b|| 5.7606560833490248e-06
73 MLA ||r(i)||/||b|| 4.7008798660098042e-06
74 MLA ||r(i)||/||b|| 3.8364654601588433e-06
75 MLA ||r(i)||/||b|| 3.1313732128125528e-06
76 MLA ||r(i)||/||b|| 2.5561349909652962e-06
77 MLA ||r(i)||/||b|| 2.0867079750959088e-06
78 MLA ||r(i)||/||b|| 1.7037486764011775e-06
79 MLA ||r(i)||/||b|| 1.3911163467134793e-06
80 MLA ||r(i)||/||b|| 1.1359267061015047e-06
81 MLA ||r(i)||/||b|| 9.2773798607598878e-07
82 MLA ||r(i)||/||b|| 7.5772570287700332e-07
83 MLA ||r(i)||/||b|| 6.1880347494545618e-07
84 MLA ||r(i)||/||b|| 5.0552641423937412e-07
85 MLA ||r(i)||/||b|| 4.1303668421756400e-07
86 MLA ||r(i)||/||b|| 3.3731786585858790e-07
87 MLA ||r(i)||/||b|| 2.7565482664264214e-07
88 MLA ||r(i)||/||b|| 2.2523321860432869e-07
89 MLA ||r(i)||/||b|| 1.8404786289329377e-07
90 MLA ||r(i)||/||b|| 1.5046488824680662e-07
91 MLA ||r(i)||/||b|| 1.2296458707963714e-07
92 MLA ||r(i)||/||b|| 1.0054479978133211e-07
93 MLA ||r(i)||/||b|| 8.2135154605269088e-08
94 MLA ||r(i)||/||b|| 6.7174792013739130e-08
95 MLA ||r(i)||/||b|| 5.4895620086069541e-08
96 MLA ||r(i)||/||b|| 4.4854589538915466e-08
97 MLA ||r(i)||/||b|| 3.6680565677736425e-08
98 MLA ||r(i)||/||b|| 3.0002175507027258e-08
99 MLA ||r(i)||/||b|| 2.4560655431997593e-08
100 MLA ||r(i)||/||b|| 2.0106598168780067e-08
101 MLA ||r(i)||/||b|| 1.6444666563092464e-08
102 MLA ||r(i)||/||b|| 1.3435365496597680e-08
103 MLA ||r(i)||/||b|| 1.0970408464074128e-08
104 MLA ||r(i)||/||b|| 8.9930443982291543e-09
>>>> solve time: 0.265223 (s)
>>>> ksp solve time: 0.0058465 (s)
            || b ||_2 = 1.3851994067587832e+00
|| r ||_2 / || b ||_2 = 2.0562367588677056e+01
