Config file: ../input/config/mla_v_cycle-refine0.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 1506, matrix Column = 1506
matrix nz_allocated = 27747, matrix nz_used = 27747, matrix nz_unneeded = 0
vector Row = 1506
initial     || b ||_2 = 2.6501139470351753e+00
>>>>local_vec_size = 1506
>>>>~~~~ local_mat_m = 1506, local_mat_n = 1506
            || b ||_2 = 2.6501139470351753e+00
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 0 is 62, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.0102968 (s)
  0 KSP unpreconditioned resid norm 2.650113947035e+00 true resid norm 2.650113947035e+00 ||r(i)||/||b|| 1.000000000000e+00
  1 KSP unpreconditioned resid norm 2.937232744723e+01 true resid norm 2.937232744722e+01 ||r(i)||/||b|| 1.108342057521e+01
  2 KSP unpreconditioned resid norm 2.375057285125e+01 true resid norm 2.375057285125e+01 ||r(i)||/||b|| 8.962094961168e+00
  3 KSP unpreconditioned resid norm 6.038030661357e+00 true resid norm 6.038030661363e+00 ||r(i)||/||b|| 2.278404167533e+00
  4 KSP unpreconditioned resid norm 2.290229100399e+00 true resid norm 2.290229100408e+00 ||r(i)||/||b|| 8.642002367371e-01
  5 KSP unpreconditioned resid norm 1.591924016150e+00 true resid norm 1.591924016152e+00 ||r(i)||/||b|| 6.007002143939e-01
  6 KSP unpreconditioned resid norm 9.361440624079e-01 true resid norm 9.361440624308e-01 ||r(i)||/||b|| 3.532467211374e-01
  7 KSP unpreconditioned resid norm 5.185226771433e-01 true resid norm 5.185226771405e-01 ||r(i)||/||b|| 1.956605215865e-01
  8 KSP unpreconditioned resid norm 2.960014047490e-01 true resid norm 2.960014047537e-01 ||r(i)||/||b|| 1.116938405931e-01
  9 KSP unpreconditioned resid norm 1.689888191523e-01 true resid norm 1.689888191619e-01 ||r(i)||/||b|| 6.376662382799e-02
 10 KSP unpreconditioned resid norm 1.029660990189e-01 true resid norm 1.029660990071e-01 ||r(i)||/||b|| 3.885346104543e-02
 11 KSP unpreconditioned resid norm 8.248294987266e-02 true resid norm 8.248294986269e-02 ||r(i)||/||b|| 3.112430314741e-02
 12 KSP unpreconditioned resid norm 7.333609938011e-02 true resid norm 7.333609935115e-02 ||r(i)||/||b|| 2.767280985529e-02
 13 KSP unpreconditioned resid norm 3.927231912710e-02 true resid norm 3.927231910385e-02 ||r(i)||/||b|| 1.481910585308e-02
 14 KSP unpreconditioned resid norm 2.485122905305e-02 true resid norm 2.485122904466e-02 ||r(i)||/||b|| 9.377419062477e-03
 15 KSP unpreconditioned resid norm 2.198919441402e-02 true resid norm 2.198919438269e-02 ||r(i)||/||b|| 8.297452419845e-03
 16 KSP unpreconditioned resid norm 2.360356544962e-02 true resid norm 2.360356543770e-02 ||r(i)||/||b|| 8.906622850731e-03
 17 KSP unpreconditioned resid norm 1.482968331905e-02 true resid norm 1.482968328776e-02 ||r(i)||/||b|| 5.595866285053e-03
 18 KSP unpreconditioned resid norm 1.244368918856e-02 true resid norm 1.244368917206e-02 ||r(i)||/||b|| 4.695529860510e-03
