Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 2
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.920574 (s)
  0 KSP unpreconditioned resid norm 3.645678991486e-01 true resid norm 3.645678991486e-01 ||r(i)||/||b|| 1.000000000000e+00
  1 KSP unpreconditioned resid norm 1.762941681646e+01 true resid norm 1.762941681646e+01 ||r(i)||/||b|| 4.835701897405e+01
  2 KSP unpreconditioned resid norm 8.228317958957e+01 true resid norm 8.228317958957e+01 ||r(i)||/||b|| 2.257005616285e+02
  3 KSP unpreconditioned resid norm 5.289345044272e+01 true resid norm 5.289345044273e+01 ||r(i)||/||b|| 1.450853203649e+02
  4 KSP unpreconditioned resid norm 2.665471908400e+01 true resid norm 2.665471908401e+01 ||r(i)||/||b|| 7.311318178659e+01
  5 KSP unpreconditioned resid norm 1.589263610124e+01 true resid norm 1.589263610124e+01 ||r(i)||/||b|| 4.359307590810e+01
  6 KSP unpreconditioned resid norm 1.520800105865e+01 true resid norm 1.520800105865e+01 ||r(i)||/||b|| 4.171514029120e+01
  7 KSP unpreconditioned resid norm 9.641768088441e+00 true resid norm 9.641768088434e+00 ||r(i)||/||b|| 2.644711207693e+01
  8 KSP unpreconditioned resid norm 4.965176041781e+00 true resid norm 4.965176041787e+00 ||r(i)||/||b|| 1.361934512990e+01
  9 KSP unpreconditioned resid norm 3.894842070157e+00 true resid norm 3.894842070165e+00 ||r(i)||/||b|| 1.068344766300e+01
 10 KSP unpreconditioned resid norm 2.879125765558e+00 true resid norm 2.879125765574e+00 ||r(i)||/||b|| 7.897364996473e+00
 11 KSP unpreconditioned resid norm 2.730185259351e+00 true resid norm 2.730185259332e+00 ||r(i)||/||b|| 7.488825170037e+00
 12 KSP unpreconditioned resid norm 1.910817122957e+00 true resid norm 1.910817122973e+00 ||r(i)||/||b|| 5.241320279254e+00
 13 KSP unpreconditioned resid norm 1.220795624739e+00 true resid norm 1.220795624741e+00 ||r(i)||/||b|| 3.348609758543e+00
 14 KSP unpreconditioned resid norm 8.388413977522e-01 true resid norm 8.388413977658e-01 ||r(i)||/||b|| 2.300919526170e+00
 15 KSP unpreconditioned resid norm 7.058527600126e-01 true resid norm 7.058527599805e-01 ||r(i)||/||b|| 1.936135248410e+00
 16 KSP unpreconditioned resid norm 5.657336929413e-01 true resid norm 5.657336929496e-01 ||r(i)||/||b|| 1.551792393874e+00
 17 KSP unpreconditioned resid norm 4.568826752877e-01 true resid norm 4.568826752713e-01 ||r(i)||/||b|| 1.253216962706e+00
 18 KSP unpreconditioned resid norm 3.594782410157e-01 true resid norm 3.594782410340e-01 ||r(i)||/||b|| 9.860392038725e-01
