Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.84286 (s)
0 MLA ||r(i)||/||b|| 1.0000000000000000e+00
1 MLA ||r(i)||/||b|| 7.0466077583653430e+01
2 MLA ||r(i)||/||b|| 9.9758860303490437e+01
3 MLA ||r(i)||/||b|| 1.1499454637140479e+02
4 MLA ||r(i)||/||b|| 1.2314242377464525e+02
5 MLA ||r(i)||/||b|| 1.2733105859793540e+02
6 MLA ||r(i)||/||b|| 1.2931019083311628e+02
7 MLA ||r(i)||/||b|| 1.3021596487295295e+02
8 MLA ||r(i)||/||b|| 1.3091876106399397e+02
9 MLA ||r(i)||/||b|| 1.3223874933537917e+02
10 MLA ||r(i)||/||b|| 1.3512347486053693e+02
11 MLA ||r(i)||/||b|| 1.4082225426238506e+02
12 MLA ||r(i)||/||b|| 1.5105456343690713e+02
13 MLA ||r(i)||/||b|| 1.6813967667719439e+02
14 MLA ||r(i)||/||b|| 1.9506494508046700e+02
15 MLA ||r(i)||/||b|| 2.3554857598551470e+02
16 MLA ||r(i)||/||b|| 2.9422887505660219e+02
17 MLA ||r(i)||/||b|| 3.7707692321143418e+02
18 MLA ||r(i)||/||b|| 4.9203400162434514e+02
19 MLA ||r(i)||/||b|| 6.4985102854656134e+02
20 MLA ||r(i)||/||b|| 8.6516059007498438e+02
21 MLA ||r(i)||/||b|| 1.1578745698044054e+03
22 MLA ||r(i)||/||b|| 1.5550467428861120e+03
23 MLA ||r(i)||/||b|| 2.0933830755181007e+03
24 MLA ||r(i)||/||b|| 2.8226386731096968e+03
25 MLA ||r(i)||/||b|| 3.8102192615839558e+03
26 MLA ||r(i)||/||b|| 5.1474147650331352e+03
27 MLA ||r(i)||/||b|| 6.9578427334844655e+03
28 MLA ||r(i)||/||b|| 9.4088835824598718e+03
29 MLA ||r(i)||/||b|| 1.0407013849795132e+04
30 MLA ||r(i)||/||b|| 1.0487154303157273e+04
31 MLA ||r(i)||/||b|| 1.0663818881451893e+04
32 MLA ||r(i)||/||b|| 1.0118574893032401e+04
33 MLA ||r(i)||/||b|| 1.0099999335877035e+04
34 MLA ||r(i)||/||b|| 1.0095637376538312e+04
35 MLA ||r(i)||/||b|| 1.0094029525293983e+04
36 MLA ||r(i)||/||b|| 1.0093373572281367e+04
37 MLA ||r(i)||/||b|| 1.0093167634307196e+04
38 MLA ||r(i)||/||b|| 1.0093216267395317e+04
39 MLA ||r(i)||/||b|| 1.0093424046715807e+04
40 MLA ||r(i)||/||b|| 1.0093736757894932e+04
41 MLA ||r(i)||/||b|| 1.0094120381688332e+04
42 MLA ||r(i)||/||b|| 1.0094552117725716e+04
