Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.800248 (s)
  0 KSP unpreconditioned resid norm 3.645678991486e-01 true resid norm 3.645678991486e-01 ||r(i)||/||b|| 1.000000000000e+00
  1 KSP unpreconditioned resid norm 5.529759948599e+01 true resid norm 5.529759948599e+01 ||r(i)||/||b|| 1.516798369114e+02
  2 KSP unpreconditioned resid norm 6.069743629401e+01 true resid norm 6.069743629401e+01 ||r(i)||/||b|| 1.664914449016e+02
  3 KSP unpreconditioned resid norm 4.203519371627e+01 true resid norm 4.203519371627e+01 ||r(i)||/||b|| 1.153014124788e+02
  4 KSP unpreconditioned resid norm 2.814253130600e+01 true resid norm 2.814253130600e+01 ||r(i)||/||b|| 7.719421093222e+01
  5 KSP unpreconditioned resid norm 1.941157969537e+01 true resid norm 1.941157969537e+01 ||r(i)||/||b|| 5.324544410163e+01
  6 KSP unpreconditioned resid norm 2.016504669536e+01 true resid norm 2.016504669536e+01 ||r(i)||/||b|| 5.531218393734e+01
  7 KSP unpreconditioned resid norm 1.491909083375e+01 true resid norm 1.491909083375e+01 ||r(i)||/||b|| 4.092266726881e+01
  8 KSP unpreconditioned resid norm 9.933779646532e+00 true resid norm 9.933779646534e+00 ||r(i)||/||b|| 2.724809197335e+01
  9 KSP unpreconditioned resid norm 7.593088785551e+00 true resid norm 7.593088785549e+00 ||r(i)||/||b|| 2.082763952416e+01
 10 KSP unpreconditioned resid norm 5.694845040388e+00 true resid norm 5.694845040393e+00 ||r(i)||/||b|| 1.562080768409e+01
 11 KSP unpreconditioned resid norm 4.573380207083e+00 true resid norm 4.573380207080e+00 ||r(i)||/||b|| 1.254465963065e+01
 12 KSP unpreconditioned resid norm 4.078284911015e+00 true resid norm 4.078284911017e+00 ||r(i)||/||b|| 1.118662647079e+01
 13 KSP unpreconditioned resid norm 3.976308894701e+00 true resid norm 3.976308894699e+00 ||r(i)||/||b|| 1.090690898454e+01
 14 KSP unpreconditioned resid norm 3.532803862382e+00 true resid norm 3.532803862385e+00 ||r(i)||/||b|| 9.690386538789e+00
 15 KSP unpreconditioned resid norm 2.779045332380e+00 true resid norm 2.779045332378e+00 ||r(i)||/||b|| 7.622847044044e+00
 16 KSP unpreconditioned resid norm 2.329841305102e+00 true resid norm 2.329841305106e+00 ||r(i)||/||b|| 6.390692407497e+00
 17 KSP unpreconditioned resid norm 2.033806677123e+00 true resid norm 2.033806677128e+00 ||r(i)||/||b|| 5.578677337960e+00
 18 KSP unpreconditioned resid norm 1.770315188777e+00 true resid norm 1.770315188779e+00 ||r(i)||/||b|| 4.855927230327e+00
