Config file: ../input/config/mla_v_cycle-refine0.json
order_rbm = 2
angle_type = 1
==== basic information of linear system ====
matrix Row = 1506, matrix Column = 1506
matrix nz_allocated = 27747, matrix nz_used = 27747, matrix nz_unneeded = 0
vector Row = 1506
initial     || b ||_2 = 2.6501139470351753e+00
>>>>local_vec_size = 1506
>>>>~~~~ local_mat_m = 1506, local_mat_n = 1506
            || b ||_2 = 2.6501139470351753e+00
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 0 is 62, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.0119972 (s)
  0 KSP unpreconditioned resid norm 2.650113947035e+00 true resid norm 2.650113947035e+00 ||r(i)||/||b|| 1.000000000000e+00
  1 KSP unpreconditioned resid norm 5.239047137462e+00 true resid norm 5.239047137470e+00 ||r(i)||/||b|| 1.976913914714e+00
  2 KSP unpreconditioned resid norm 6.190370839803e-01 true resid norm 6.190370839671e-01 ||r(i)||/||b|| 2.335888555508e-01
  3 KSP unpreconditioned resid norm 2.238945911310e-01 true resid norm 2.238945911335e-01 ||r(i)||/||b|| 8.448489220018e-02
  4 KSP unpreconditioned resid norm 6.631618852075e-02 true resid norm 6.631618851950e-02 ||r(i)||/||b|| 2.502390080007e-02
  5 KSP unpreconditioned resid norm 2.596059873991e-02 true resid norm 2.596059874324e-02 ||r(i)||/||b|| 9.796031137560e-03
  6 KSP unpreconditioned resid norm 1.320420406965e-02 true resid norm 1.320420405116e-02 ||r(i)||/||b|| 4.982504267764e-03
  7 KSP unpreconditioned resid norm 4.549802504056e-03 true resid norm 4.549802511829e-03 ||r(i)||/||b|| 1.716832786348e-03
  8 KSP unpreconditioned resid norm 3.588451027589e-03 true resid norm 3.588451035722e-03 ||r(i)||/||b|| 1.354074242633e-03
  9 KSP unpreconditioned resid norm 1.527871794677e-03 true resid norm 1.527871781637e-03 ||r(i)||/||b|| 5.765305991264e-04
 10 KSP unpreconditioned resid norm 1.581043572425e-03 true resid norm 1.581043583999e-03 ||r(i)||/||b|| 5.965945674780e-04
 11 KSP unpreconditioned resid norm 9.600797775559e-04 true resid norm 9.600797900817e-04 ||r(i)||/||b|| 3.622786828301e-04
 12 KSP unpreconditioned resid norm 9.107242289467e-04 true resid norm 9.107242356830e-04 ||r(i)||/||b|| 3.436547461296e-04
 13 KSP unpreconditioned resid norm 9.604402731800e-04 true resid norm 9.604402712365e-04 ||r(i)||/||b|| 3.624147076057e-04
 14 KSP unpreconditioned resid norm 7.109543598845e-04 true resid norm 7.109543409949e-04 ||r(i)||/||b|| 2.682731215351e-04
 15 KSP unpreconditioned resid norm 7.109475690252e-04 true resid norm 7.109475593811e-04 ||r(i)||/||b|| 2.682705625456e-04
 16 KSP unpreconditioned resid norm 7.125190373681e-04 true resid norm 7.125190453717e-04 ||r(i)||/||b|| 2.688635506291e-04
 17 KSP unpreconditioned resid norm 6.767500163112e-04 true resid norm 6.767500198111e-04 ||r(i)||/||b|| 2.553663854976e-04
 18 KSP unpreconditioned resid norm 6.146139990032e-04 true resid norm 6.146139986063e-04 ||r(i)||/||b|| 2.319198385012e-04
