Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.788709 (s)
  0 KSP unpreconditioned resid norm 3.645678991486e-01 true resid norm 3.645678991486e-01 ||r(i)||/||b|| 1.000000000000e+00
  1 KSP unpreconditioned resid norm 5.529759948576e+01 true resid norm 5.529759948576e+01 ||r(i)||/||b|| 1.516798369108e+02
  2 KSP unpreconditioned resid norm 6.077254661140e+01 true resid norm 6.077254661140e+01 ||r(i)||/||b|| 1.666974704940e+02
  3 KSP unpreconditioned resid norm 4.267696748958e+01 true resid norm 4.267696748958e+01 ||r(i)||/||b|| 1.170617807800e+02
  4 KSP unpreconditioned resid norm 2.522012984928e+01 true resid norm 2.522012984928e+01 ||r(i)||/||b|| 6.917814187201e+01
  5 KSP unpreconditioned resid norm 1.602258653163e+01 true resid norm 1.602258653163e+01 ||r(i)||/||b|| 4.394952646420e+01
  6 KSP unpreconditioned resid norm 1.284158865648e+01 true resid norm 1.284158865648e+01 ||r(i)||/||b|| 3.522413434223e+01
  7 KSP unpreconditioned resid norm 7.467379794671e+00 true resid norm 7.467379794670e+00 ||r(i)||/||b|| 2.048282312323e+01
  8 KSP unpreconditioned resid norm 4.941473538965e+00 true resid norm 4.941473538968e+00 ||r(i)||/||b|| 1.355432979839e+01
  9 KSP unpreconditioned resid norm 3.526172008677e+00 true resid norm 3.526172008674e+00 ||r(i)||/||b|| 9.672195541375e+00
 10 KSP unpreconditioned resid norm 2.240580374825e+00 true resid norm 2.240580374828e+00 ||r(i)||/||b|| 6.145852062291e+00
 11 KSP unpreconditioned resid norm 1.563888979512e+00 true resid norm 1.563888979514e+00 ||r(i)||/||b|| 4.289705657480e+00
 12 KSP unpreconditioned resid norm 1.129876456067e+00 true resid norm 1.129876456065e+00 ||r(i)||/||b|| 3.099220909751e+00
 13 KSP unpreconditioned resid norm 8.383032106454e-01 true resid norm 8.383032106463e-01 ||r(i)||/||b|| 2.299443293290e+00
 14 KSP unpreconditioned resid norm 5.587414776130e-01 true resid norm 5.587414776119e-01 ||r(i)||/||b|| 1.532612934152e+00
 15 KSP unpreconditioned resid norm 3.926765627494e-01 true resid norm 3.926765627513e-01 ||r(i)||/||b|| 1.077101312727e+00
 16 KSP unpreconditioned resid norm 2.672359925123e-01 true resid norm 2.672359925125e-01 ||r(i)||/||b|| 7.330211824370e-01
 17 KSP unpreconditioned resid norm 1.771527630983e-01 true resid norm 1.771527630972e-01 ||r(i)||/||b|| 4.859252926845e-01
 18 KSP unpreconditioned resid norm 1.223302967483e-01 true resid norm 1.223302967461e-01 ||r(i)||/||b|| 3.355487332586e-01
