Config file: ../input/config/mla_v_cycle-refine2.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 19158, matrix Column = 19158
matrix nz_allocated = 387515, matrix nz_used = 387515, matrix nz_unneeded = 0
vector Row = 19158
initial     || b ||_2 = 7.2042734251691598e-01
>>>>local_vec_size = 19158
>>>>~~~~ local_mat_m = 19158, local_mat_n = 19158
            || b ||_2 = 7.2042734251691598e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 2 is 49, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.190178 (s)
0 MLA ||r(i)||/||b|| 1.0000000000000000e+00
1 MLA ||r(i)||/||b|| 1.0443195009004235e+01
2 MLA ||r(i)||/||b|| 8.1797980869489333e+00
3 MLA ||r(i)||/||b|| 7.6660243876149003e+00
4 MLA ||r(i)||/||b|| 6.8548248654562025e+00
5 MLA ||r(i)||/||b|| 5.8804519568080247e+00
6 MLA ||r(i)||/||b|| 4.9634698659000795e+00
7 MLA ||r(i)||/||b|| 4.1964171527205698e+00
8 MLA ||r(i)||/||b|| 3.6505356658142665e+00
9 MLA ||r(i)||/||b|| 3.3297666736565179e+00
10 MLA ||r(i)||/||b|| 3.1689984830036018e+00
11 MLA ||r(i)||/||b|| 3.0845352280476486e+00
12 MLA ||r(i)||/||b|| 3.0128002637533071e+00
13 MLA ||r(i)||/||b|| 2.9206424161780178e+00
14 MLA ||r(i)||/||b|| 2.7998837239574912e+00
15 MLA ||r(i)||/||b|| 2.6576014972028150e+00
16 MLA ||r(i)||/||b|| 2.5072699237340830e+00
17 MLA ||r(i)||/||b|| 2.3623080421927636e+00
18 MLA ||r(i)||/||b|| 2.2322463916635775e+00
19 MLA ||r(i)||/||b|| 2.1212977613483672e+00
20 MLA ||r(i)||/||b|| 2.0288376752848425e+00
21 MLA ||r(i)||/||b|| 1.9510224022912463e+00
22 MLA ||r(i)||/||b|| 1.8826815309019775e+00
23 MLA ||r(i)||/||b|| 1.8188388036431065e+00
24 MLA ||r(i)||/||b|| 1.7555983093416163e+00
25 MLA ||r(i)||/||b|| 1.6904472351346995e+00
26 MLA ||r(i)||/||b|| 1.6221666542761664e+00
27 MLA ||r(i)||/||b|| 1.5505479446454009e+00
28 MLA ||r(i)||/||b|| 1.4760609644545155e+00
29 MLA ||r(i)||/||b|| 1.3995602147050634e+00
30 MLA ||r(i)||/||b|| 1.3220660495874645e+00
31 MLA ||r(i)||/||b|| 1.2446241464143128e+00
32 MLA ||r(i)||/||b|| 1.1682274137556188e+00
33 MLA ||r(i)||/||b|| 1.0937778337611781e+00
34 MLA ||r(i)||/||b|| 1.0220677218770104e+00
35 MLA ||r(i)||/||b|| 9.5376645534073157e-01
36 MLA ||r(i)||/||b|| 8.8940632611430459e-01
37 MLA ||r(i)||/||b|| 8.2936737572788977e-01
38 MLA ||r(i)||/||b|| 7.7386477636937889e-01
39 MLA ||r(i)||/||b|| 7.2294339798167739e-01
40 MLA ||r(i)||/||b|| 6.7648318847121791e-01
41 MLA ||r(i)||/||b|| 6.3421674452555354e-01
42 MLA ||r(i)||/||b|| 5.9575791154847579e-01
