Config file: ../input/config/mla_v_cycle-refine1.json
order_rbm = 2
angle_type = 1
==== basic information of linear system ====
matrix Row = 5340, matrix Column = 5340
matrix nz_allocated = 104619, matrix nz_used = 104619, matrix nz_unneeded = 0
vector Row = 5340
initial     || b ||_2 = 1.3851994067587832e+00
>>>>local_vec_size = 5340
>>>>~~~~ local_mat_m = 5340, local_mat_n = 5340
            || b ||_2 = 1.3851994067587832e+00
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 1 is 55, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.0516977 (s)
0 MLA ||r(i)||/||b|| 1.0000000000000000e+00
1 MLA ||r(i)||/||b|| 9.4532385012202909e+00
2 MLA ||r(i)||/||b|| 4.8263488152884371e+00
3 MLA ||r(i)||/||b|| 4.3837035715299510e+00
4 MLA ||r(i)||/||b|| 4.4202419545444691e+00
5 MLA ||r(i)||/||b|| 3.1918086451943193e+00
6 MLA ||r(i)||/||b|| 1.9268033148991177e+00
7 MLA ||r(i)||/||b|| 1.2923980151830934e+00
8 MLA ||r(i)||/||b|| 1.0276064658812687e+00
9 MLA ||r(i)||/||b|| 8.4153888327031845e-01
10 MLA ||r(i)||/||b|| 6.9109890185516265e-01
11 MLA ||r(i)||/||b|| 5.6807464571733957e-01
12 MLA ||r(i)||/||b|| 4.6414390643329118e-01
13 MLA ||r(i)||/||b|| 3.8026110125104656e-01
14 MLA ||r(i)||/||b|| 3.1692654834161160e-01
15 MLA ||r(i)||/||b|| 2.6956307971456439e-01
16 MLA ||r(i)||/||b|| 2.3246405777094908e-01
17 MLA ||r(i)||/||b|| 2.0202999221082588e-01
18 MLA ||r(i)||/||b|| 1.7658857093589050e-01
19 MLA ||r(i)||/||b|| 1.5523114514562500e-01
20 MLA ||r(i)||/||b|| 1.3720983285262919e-01
21 MLA ||r(i)||/||b|| 1.2185842615975753e-01
22 MLA ||r(i)||/||b|| 1.0865246529010693e-01
23 MLA ||r(i)||/||b|| 9.7224623447601938e-02
24 MLA ||r(i)||/||b|| 8.7325446106718649e-02
25 MLA ||r(i)||/||b|| 7.8769620553887254e-02
26 MLA ||r(i)||/||b|| 7.1397088411205692e-02
27 MLA ||r(i)||/||b|| 6.5056271691072962e-02
28 MLA ||r(i)||/||b|| 5.9602710331002194e-02
29 MLA ||r(i)||/||b|| 5.4903281222939075e-02
30 MLA ||r(i)||/||b|| 5.0839681834046621e-02
31 MLA ||r(i)||/||b|| 4.7309410047322302e-02
32 MLA ||r(i)||/||b|| 4.4224983496901613e-02
33 MLA ||r(i)||/||b|| 4.1512485650784026e-02
34 MLA ||r(i)||/||b|| 3.9110010678290202e-02
35 MLA ||r(i)||/||b|| 3.6966162720924560e-02
36 MLA ||r(i)||/||b|| 3.5038625582975852e-02
37 MLA ||r(i)||/||b|| 3.3292821896469850e-02
38 MLA ||r(i)||/||b|| 3.1700684576483174e-02
39 MLA ||r(i)||/||b|| 3.0239553624231023e-02
40 MLA ||r(i)||/||b|| 2.8891206091379025e-02
41 MLA ||r(i)||/||b|| 2.7641016245782298e-02
42 MLA ||r(i)||/||b|| 2.6477244266624941e-02
