Config file: ../input/config/mla_v_cycle-refine0.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 1506, matrix Column = 1506
matrix nz_allocated = 27747, matrix nz_used = 27747, matrix nz_unneeded = 0
vector Row = 1506
initial     || b ||_2 = 2.6501139470351753e+00
>>>>local_vec_size = 1506
>>>>~~~~ local_mat_m = 1506, local_mat_n = 1506
            || b ||_2 = 2.6501139470351753e+00
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 0 is 62, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.0104971 (s)
0 MLA ||r(i)||/||b|| 1.0000000000000000e+00
1 MLA ||r(i)||/||b|| 1.1722780623471413e+01
2 MLA ||r(i)||/||b|| 7.2284612621594126e+00
3 MLA ||r(i)||/||b|| 4.4595284656503642e+00
4 MLA ||r(i)||/||b|| 2.8603864432645740e+00
5 MLA ||r(i)||/||b|| 1.8585249385348130e+00
6 MLA ||r(i)||/||b|| 1.2050122325176396e+00
7 MLA ||r(i)||/||b|| 7.7619444948297289e-01
8 MLA ||r(i)||/||b|| 4.9664120895555514e-01
9 MLA ||r(i)||/||b|| 3.1599486860863452e-01
10 MLA ||r(i)||/||b|| 2.0017910178827153e-01
11 MLA ||r(i)||/||b|| 1.2639268847696156e-01
12 MLA ||r(i)||/||b|| 7.9607678762967454e-02
13 MLA ||r(i)||/||b|| 5.0048960093037456e-02
14 MLA ||r(i)||/||b|| 3.1423093338540452e-02
15 MLA ||r(i)||/||b|| 1.9709210375958700e-02
16 MLA ||r(i)||/||b|| 1.2352876165363619e-02
17 MLA ||r(i)||/||b|| 7.7379819156618099e-03
18 MLA ||r(i)||/||b|| 4.8451610347614044e-03
19 MLA ||r(i)||/||b|| 3.0328683456841677e-03
20 MLA ||r(i)||/||b|| 1.8979983423635910e-03
21 MLA ||r(i)||/||b|| 1.1875680513463473e-03
22 MLA ||r(i)||/||b|| 7.4294855205395084e-04
23 MLA ||r(i)||/||b|| 4.6473890322970275e-04
24 MLA ||r(i)||/||b|| 2.9068237667172734e-04
25 MLA ||r(i)||/||b|| 1.8180014306896632e-04
26 MLA ||r(i)||/||b|| 1.1369488688817215e-04
27 MLA ||r(i)||/||b|| 7.1098701597173807e-05
28 MLA ||r(i)||/||b|| 4.4459078918294543e-05
29 MLA ||r(i)||/||b|| 2.7799611393296670e-05
30 MLA ||r(i)||/||b|| 1.7381957149016314e-05
31 MLA ||r(i)||/||b|| 1.0867816223154403e-05
32 MLA ||r(i)||/||b|| 6.7947012962231347e-06
33 MLA ||r(i)||/||b|| 4.2479382529993514e-06
34 MLA ||r(i)||/||b|| 2.6556349386791569e-06
35 MLA ||r(i)||/||b|| 1.6601563769016858e-06
36 MLA ||r(i)||/||b|| 1.0377561421227024e-06
37 MLA ||r(i)||/||b|| 6.4867890195329910e-07
38 MLA ||r(i)||/||b|| 4.0550899642815096e-07
39 MLA ||r(i)||/||b|| 2.5347459431932813e-07
40 MLA ||r(i)||/||b|| 1.5841550523976677e-07
41 MLA ||r(i)||/||b|| 9.9006871988064518e-08
42 MLA ||r(i)||/||b|| 6.1934620031668103e-08
43 MLA ||r(i)||/||b|| 3.8710982356174902e-08
44 MLA ||r(i)||/||b|| 2.4207741127563854e-08
45 MLA ||r(i)||/||b|| 1.5120229973269426e-08
46 MLA ||r(i)||/||b|| 9.4441777286688563e-09
>>>> mla solve time: 0.0570667 (s)
>>>> ksp solve time: 0.00176239 (s)
            || b ||_2 = 2.6501139470351753e+00
|| r ||_2 / || b ||_2 = 1.4365554870196187e+01
