Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.799056 (s)
0 MLA ||r(i)||/||b|| 1.0000000000000000e+00
1 MLA ||r(i)||/||b|| 8.9097195374453015e+00
2 MLA ||r(i)||/||b|| 1.0286969571470813e+01
3 MLA ||r(i)||/||b|| 1.0857241926971636e+01
4 MLA ||r(i)||/||b|| 1.1138850892091121e+01
5 MLA ||r(i)||/||b|| 1.1260328548531689e+01
6 MLA ||r(i)||/||b|| 1.1270872190210738e+01
7 MLA ||r(i)||/||b|| 1.1196527953166429e+01
8 MLA ||r(i)||/||b|| 1.1055049188934554e+01
9 MLA ||r(i)||/||b|| 1.0860449385790858e+01
10 MLA ||r(i)||/||b|| 1.0624466258413552e+01
11 MLA ||r(i)||/||b|| 1.0357064202553929e+01
12 MLA ||r(i)||/||b|| 1.0066659003463220e+01
13 MLA ||r(i)||/||b|| 9.7602792167316572e+00
14 MLA ||r(i)||/||b|| 9.4437212729487090e+00
15 MLA ||r(i)||/||b|| 9.1217056925128741e+00
16 MLA ||r(i)||/||b|| 8.7980292000244642e+00
17 MLA ||r(i)||/||b|| 8.4757067355727287e+00
18 MLA ||r(i)||/||b|| 8.1570995100069226e+00
19 MLA ||r(i)||/||b|| 7.8440274164435131e+00
20 MLA ||r(i)||/||b|| 7.5378658853037468e+00
21 MLA ||r(i)||/||b|| 7.2396280582454162e+00
22 MLA ||r(i)||/||b|| 6.9500337681234097e+00
23 MLA ||r(i)||/||b|| 6.6695669554369896e+00
24 MLA ||r(i)||/||b|| 6.3985231442108361e+00
25 MLA ||r(i)||/||b|| 6.1370484753692907e+00
26 MLA ||r(i)||/||b|| 5.8851716652383086e+00
27 MLA ||r(i)||/||b|| 5.6428300525562873e+00
28 MLA ||r(i)||/||b|| 5.4098907561525484e+00
29 MLA ||r(i)||/||b|| 5.1861677869145577e+00
30 MLA ||r(i)||/||b|| 4.9714358527053424e+00
31 MLA ||r(i)||/||b|| 4.7654414115834633e+00
32 MLA ||r(i)||/||b|| 4.5679115273537674e+00
33 MLA ||r(i)||/||b|| 4.3785608941228471e+00
34 MLA ||r(i)||/||b|| 4.1970973803363050e+00
35 MLA ||r(i)||/||b|| 4.0232263775377026e+00
36 MLA ||r(i)||/||b|| 3.8566541718863472e+00
37 MLA ||r(i)||/||b|| 3.6970905328113690e+00
38 MLA ||r(i)||/||b|| 3.5442506658005719e+00
39 MLA ||r(i)||/||b|| 3.3978566591869432e+00
40 MLA ||r(i)||/||b|| 3.2576385211836802e+00
41 MLA ||r(i)||/||b|| 3.1233348980106301e+00
42 MLA ||r(i)||/||b|| 2.9946935298924706e+00
