Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.838865 (s)
0 MLA ||r(i)||/||b|| 1.0000000000000000e+00
1 MLA ||r(i)||/||b|| 5.1606298820349314e+00
2 MLA ||r(i)||/||b|| 6.1330189516496034e+00
3 MLA ||r(i)||/||b|| 6.6752765331945429e+00
4 MLA ||r(i)||/||b|| 6.9929992161495216e+00
5 MLA ||r(i)||/||b|| 7.1586383274859191e+00
6 MLA ||r(i)||/||b|| 7.2164655726471105e+00
7 MLA ||r(i)||/||b|| 7.1971639119379169e+00
8 MLA ||r(i)||/||b|| 7.1227039022309855e+00
9 MLA ||r(i)||/||b|| 7.0090055813993724e+00
10 MLA ||r(i)||/||b|| 6.8676895044499036e+00
11 MLA ||r(i)||/||b|| 6.7072934020970383e+00
12 MLA ||r(i)||/||b|| 6.5341297709879749e+00
13 MLA ||r(i)||/||b|| 6.3528932751201275e+00
14 MLA ||r(i)||/||b|| 6.1670927148420427e+00
15 MLA ||r(i)||/||b|| 5.9793599737173269e+00
16 MLA ||r(i)||/||b|| 5.7916725557452358e+00
17 MLA ||r(i)||/||b|| 5.6055152698465101e+00
18 MLA ||r(i)||/||b|| 5.4219987941910386e+00
19 MLA ||r(i)||/||b|| 5.2419474763160343e+00
20 MLA ||r(i)||/||b|| 5.0659650063969570e+00
21 MLA ||r(i)||/||b|| 4.8944840190340839e+00
22 MLA ||r(i)||/||b|| 4.7278039114294295e+00
23 MLA ||r(i)||/||b|| 4.5661199379967918e+00
24 MLA ||r(i)||/||b|| 4.4095457836916223e+00
25 MLA ||r(i)||/||b|| 4.2581312018663668e+00
26 MLA ||r(i)||/||b|| 4.1118759017792037e+00
27 MLA ||r(i)||/||b|| 3.9707405405568146e+00
28 MLA ||r(i)||/||b|| 3.8346554718415149e+00
29 MLA ||r(i)||/||b|| 3.7035277397218507e+00
30 MLA ||r(i)||/||b|| 3.5772466883364484e+00
31 MLA ||r(i)||/||b|| 3.4556884712490126e+00
32 MLA ||r(i)||/||b|| 3.3387196910237353e+00
33 MLA ||r(i)||/||b|| 3.2262003272225863e+00
34 MLA ||r(i)||/||b|| 3.1179861027503830e+00
35 MLA ||r(i)||/||b|| 3.0139303883929047e+00
36 MLA ||r(i)||/||b|| 2.9138857305564709e+00
37 MLA ||r(i)||/||b|| 2.8177050947612781e+00
38 MLA ||r(i)||/||b|| 2.7252428151431758e+00
39 MLA ||r(i)||/||b|| 2.6363553922755134e+00
40 MLA ||r(i)||/||b|| 2.5509020901974346e+00
41 MLA ||r(i)||/||b|| 2.4687454066004380e+00
42 MLA ||r(i)||/||b|| 2.3897514305579373e+00
