Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 2
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.979449 (s)
0 MLA ||r(i)||/||b|| 1.0000000000000000e+00
1 MLA ||r(i)||/||b|| 5.8492928331999217e+00
2 MLA ||r(i)||/||b|| 4.6843869224137137e+01
3 MLA ||r(i)||/||b|| 1.3190175384433758e+02
4 MLA ||r(i)||/||b|| 5.5419332228531027e+02
5 MLA ||r(i)||/||b|| 3.0723571898105542e+03
6 MLA ||r(i)||/||b|| 4.2458589934315707e+04
7 MLA ||r(i)||/||b|| 1.7973035600772037e+06
8 MLA ||r(i)||/||b|| 7.6507009763015747e+07
9 MLA ||r(i)||/||b|| 3.2619508087404795e+09
10 MLA ||r(i)||/||b|| 1.3922876872387439e+11
11 MLA ||r(i)||/||b|| 5.9475749085194043e+12
12 MLA ||r(i)||/||b|| 2.5423081133255903e+14
13 MLA ||r(i)||/||b|| 1.0872588730269764e+16
14 MLA ||r(i)||/||b|| 4.6516656177627110e+17
15 MLA ||r(i)||/||b|| 1.9907646669901431e+19
16 MLA ||r(i)||/||b|| 8.5219786073652829e+20
17 MLA ||r(i)||/||b|| 3.6487923320910068e+22
18 MLA ||r(i)||/||b|| 1.5625344792966136e+24
19 MLA ||r(i)||/||b|| 6.6921978213950210e+25
20 MLA ||r(i)||/||b|| 2.8665278393056159e+27
21 MLA ||r(i)||/||b|| 1.2279575081614710e+29
22 MLA ||r(i)||/||b|| 5.2606986478808580e+30
23 MLA ||r(i)||/||b|| 2.2538800759594481e+32
24 MLA ||r(i)||/||b|| 9.6569696403066163e+33
25 MLA ||r(i)||/||b|| 4.1378029656438171e+35
26 MLA ||r(i)||/||b|| 1.7730234550645170e+37
27 MLA ||r(i)||/||b|| 7.5975275109756118e+38
28 MLA ||r(i)||/||b|| 3.2556749762423189e+40
29 MLA ||r(i)||/||b|| 1.3951437508538503e+42
30 MLA ||r(i)||/||b|| 5.9786692591954142e+43
31 MLA ||r(i)||/||b|| 2.5621025000217574e+45
32 MLA ||r(i)||/||b|| 1.0979784741141331e+47
33 MLA ||r(i)||/||b|| 4.7053900681565467e+48
34 MLA ||r(i)||/||b|| 2.0165137438521849e+50
35 MLA ||r(i)||/||b|| 8.6419127928001996e+51
36 MLA ||r(i)||/||b|| 3.7035754755665773e+53
37 MLA ||r(i)||/||b|| 1.5872111992510443e+55
38 MLA ||r(i)||/||b|| 6.8022107007761018e+56
39 MLA ||r(i)||/||b|| 2.9151907898326706e+58
40 MLA ||r(i)||/||b|| 1.2493530383722520e+60
41 MLA ||r(i)||/||b|| 5.3543215966786229e+61
42 MLA ||r(i)||/||b|| 2.2946932252378287e+63
