Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 2
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.976742 (s)
0 MLA ||r(i)||/||b|| 1.0000000000000000e+00
1 MLA ||r(i)||/||b|| 1.3195126514420541e+00
2 MLA ||r(i)||/||b|| 1.5540844520897201e+00
3 MLA ||r(i)||/||b|| 1.6280195024642838e+00
4 MLA ||r(i)||/||b|| 4.8659144329354760e+00
5 MLA ||r(i)||/||b|| 8.7875035157605055e+00
6 MLA ||r(i)||/||b|| 9.8688780772395734e+00
7 MLA ||r(i)||/||b|| 7.9311890252794273e+00
8 MLA ||r(i)||/||b|| 9.2991157655523544e+00
9 MLA ||r(i)||/||b|| 9.5796308436030468e+00
10 MLA ||r(i)||/||b|| 9.4834080117246575e+00
11 MLA ||r(i)||/||b|| 9.1965002845957464e+00
12 MLA ||r(i)||/||b|| 8.7985477218579771e+00
13 MLA ||r(i)||/||b|| 8.3357276420225155e+00
14 MLA ||r(i)||/||b|| 7.8382850779921114e+00
15 MLA ||r(i)||/||b|| 7.3282394841213598e+00
16 MLA ||r(i)||/||b|| 6.1463505162578613e+00
17 MLA ||r(i)||/||b|| 5.8433685918170646e+00
18 MLA ||r(i)||/||b|| 5.5101273770824708e+00
19 MLA ||r(i)||/||b|| 5.1941191010711520e+00
20 MLA ||r(i)||/||b|| 4.8665284885805189e+00
21 MLA ||r(i)||/||b|| 4.2663774991335126e+00
22 MLA ||r(i)||/||b|| 3.9923436005273847e+00
23 MLA ||r(i)||/||b|| 3.7601843271098820e+00
24 MLA ||r(i)||/||b|| 3.5250618637795199e+00
25 MLA ||r(i)||/||b|| 3.2928459498576759e+00
26 MLA ||r(i)||/||b|| 3.0674447042903590e+00
27 MLA ||r(i)||/||b|| 2.8502941563974491e+00
28 MLA ||r(i)||/||b|| 2.6436419459364000e+00
29 MLA ||r(i)||/||b|| 2.4484711399229000e+00
30 MLA ||r(i)||/||b|| 2.2652640882893125e+00
31 MLA ||r(i)||/||b|| 2.0941115057746189e+00
32 MLA ||r(i)||/||b|| 1.9348187400107215e+00
33 MLA ||r(i)||/||b|| 1.7854587242408775e+00
34 MLA ||r(i)||/||b|| 1.6488267908348748e+00
35 MLA ||r(i)||/||b|| 1.4925194174286098e+00
36 MLA ||r(i)||/||b|| 1.3709995585593959e+00
37 MLA ||r(i)||/||b|| 1.2343671340637712e+00
38 MLA ||r(i)||/||b|| 1.1320813470724091e+00
39 MLA ||r(i)||/||b|| 1.0566872609865903e+00
40 MLA ||r(i)||/||b|| 9.8812259042434936e-01
41 MLA ||r(i)||/||b|| 9.2364466295152781e-01
42 MLA ||r(i)||/||b|| 8.6243588000779281e-01
