Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.84187 (s)
0 MLA ||r(i)||/||b|| 1.0000000000000000e+00
1 MLA ||r(i)||/||b|| 9.0263789428753860e+00
2 MLA ||r(i)||/||b|| 1.0528837363535738e+01
3 MLA ||r(i)||/||b|| 1.1242159137695470e+01
4 MLA ||r(i)||/||b|| 1.1678517111703510e+01
5 MLA ||r(i)||/||b|| 1.1944058189811409e+01
6 MLA ||r(i)||/||b|| 1.2080221402007014e+01
7 MLA ||r(i)||/||b|| 1.2113327055003555e+01
8 MLA ||r(i)||/||b|| 1.2064020148919818e+01
9 MLA ||r(i)||/||b|| 1.1949405669553226e+01
10 MLA ||r(i)||/||b|| 1.1783722248095472e+01
11 MLA ||r(i)||/||b|| 1.1578735886526395e+01
12 MLA ||r(i)||/||b|| 1.1344084679291194e+01
13 MLA ||r(i)||/||b|| 1.1087603505063690e+01
14 MLA ||r(i)||/||b|| 1.0815621495497052e+01
15 MLA ||r(i)||/||b|| 1.0533224685881633e+01
16 MLA ||r(i)||/||b|| 1.0244481231589651e+01
17 MLA ||r(i)||/||b|| 9.9526305812400615e+00
18 MLA ||r(i)||/||b|| 9.6602400240396165e+00
19 MLA ||r(i)||/||b|| 9.3693330748515233e+00
20 MLA ||r(i)||/||b|| 9.0814939395694623e+00
21 MLA ||r(i)||/||b|| 8.7979522622212052e+00
22 MLA ||r(i)||/||b|| 8.5196516576332524e+00
23 MLA ||r(i)||/||b|| 8.2473050595853366e+00
24 MLA ||r(i)||/||b|| 7.9814394131064796e+00
25 MLA ||r(i)||/||b|| 7.7224317581808162e+00
26 MLA ||r(i)||/||b|| 7.4705383950831470e+00
27 MLA ||r(i)||/||b|| 7.2259184746670497e+00
28 MLA ||r(i)||/||b|| 6.9886531047370486e+00
29 MLA ||r(i)||/||b|| 6.7587608509863317e+00
30 MLA ||r(i)||/||b|| 6.5362103282097879e+00
31 MLA ||r(i)||/||b|| 6.3209304441650787e+00
32 MLA ||r(i)||/||b|| 6.1128187459313930e+00
33 MLA ||r(i)||/||b|| 5.9117482329192503e+00
34 MLA ||r(i)||/||b|| 5.7175729188308484e+00
35 MLA ||r(i)||/||b|| 5.5301323811618603e+00
36 MLA ||r(i)||/||b|| 5.3492554871988620e+00
37 MLA ||r(i)||/||b|| 5.1747634399895652e+00
38 MLA ||r(i)||/||b|| 5.0064722750373685e+00
39 MLA ||r(i)||/||b|| 4.8441948998124316e+00
40 MLA ||r(i)||/||b|| 4.6877427639997205e+00
41 MLA ||r(i)||/||b|| 4.5369272188432461e+00
42 MLA ||r(i)||/||b|| 4.3915606246560204e+00
