Config file: ../input/config/mla_v_cycle-refine2.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 19158, matrix Column = 19158
matrix nz_allocated = 387515, matrix nz_used = 387515, matrix nz_unneeded = 0
vector Row = 19158
initial     || b ||_2 = 7.2042734251691598e-01
>>>>local_vec_size = 19158
>>>>~~~~ local_mat_m = 19158, local_mat_n = 19158
            || b ||_2 = 7.2042734251691598e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 2 is 49, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.190597 (s)
  0 KSP unpreconditioned resid norm 7.204273425169e-01 true resid norm 7.204273425169e-01 ||r(i)||/||b|| 1.000000000000e+00
  1 KSP unpreconditioned resid norm 5.658786255745e+01 true resid norm 5.658786255745e+01 ||r(i)||/||b|| 7.854763307533e+01
  2 KSP unpreconditioned resid norm 6.378927773030e+01 true resid norm 6.378927773030e+01 ||r(i)||/||b|| 8.854366563524e+01
  3 KSP unpreconditioned resid norm 3.460409163051e+01 true resid norm 3.460409163051e+01 ||r(i)||/||b|| 4.803272944863e+01
  4 KSP unpreconditioned resid norm 2.303340937187e+01 true resid norm 2.303340937187e+01 ||r(i)||/||b|| 3.197187004508e+01
  5 KSP unpreconditioned resid norm 1.488585262374e+01 true resid norm 1.488585262374e+01 ||r(i)||/||b|| 2.066253145214e+01
  6 KSP unpreconditioned resid norm 9.230379744090e+00 true resid norm 9.230379744091e+00 ||r(i)||/||b|| 1.281236732610e+01
  7 KSP unpreconditioned resid norm 7.594815087950e+00 true resid norm 7.594815087951e+00 ||r(i)||/||b|| 1.054209722443e+01
  8 KSP unpreconditioned resid norm 4.757102414954e+00 true resid norm 4.757102414954e+00 ||r(i)||/||b|| 6.603167501020e+00
  9 KSP unpreconditioned resid norm 3.587621715972e+00 true resid norm 3.587621715971e+00 ||r(i)||/||b|| 4.979852240806e+00
 10 KSP unpreconditioned resid norm 2.855755595912e+00 true resid norm 2.855755595912e+00 ||r(i)||/||b|| 3.963974473728e+00
 11 KSP unpreconditioned resid norm 2.270989070576e+00 true resid norm 2.270989070568e+00 ||r(i)||/||b|| 3.152280509834e+00
 12 KSP unpreconditioned resid norm 1.917240314704e+00 true resid norm 1.917240314704e+00 ||r(i)||/||b|| 2.661254232808e+00
 13 KSP unpreconditioned resid norm 1.710179848324e+00 true resid norm 1.710179848318e+00 ||r(i)||/||b|| 2.373840840553e+00
 14 KSP unpreconditioned resid norm 1.414233787933e+00 true resid norm 1.414233787934e+00 ||r(i)||/||b|| 1.963048463698e+00
 15 KSP unpreconditioned resid norm 1.262056779600e+00 true resid norm 1.262056779603e+00 ||r(i)||/||b|| 1.751816880234e+00
 16 KSP unpreconditioned resid norm 9.927462679841e-01 true resid norm 9.927462679896e-01 ||r(i)||/||b|| 1.377996377152e+00
 17 KSP unpreconditioned resid norm 8.047114017480e-01 true resid norm 8.047114017427e-01 ||r(i)||/||b|| 1.116991755104e+00
 18 KSP unpreconditioned resid norm 7.460072857295e-01 true resid norm 7.460072857291e-01 ||r(i)||/||b|| 1.035506624614e+00
