Config file: ../input/config/mla_v_cycle-refine1.json
order_rbm = 2
angle_type = 1
==== basic information of linear system ====
matrix Row = 5340, matrix Column = 5340
matrix nz_allocated = 104619, matrix nz_used = 104619, matrix nz_unneeded = 0
vector Row = 5340
initial     || b ||_2 = 1.3851994067587832e+00
>>>>local_vec_size = 5340
>>>>~~~~ local_mat_m = 5340, local_mat_n = 5340
            || b ||_2 = 1.3851994067587832e+00
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 1 is 55, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.0518224 (s)
  0 KSP unpreconditioned resid norm 1.385199406759e+00 true resid norm 1.385199406759e+00 ||r(i)||/||b|| 1.000000000000e+00
  1 KSP unpreconditioned resid norm 2.547001118864e+01 true resid norm 2.547001118864e+01 ||r(i)||/||b|| 1.838725245215e+01
  2 KSP unpreconditioned resid norm 1.203375387769e+01 true resid norm 1.203375387769e+01 ||r(i)||/||b|| 8.687380184381e+00
  3 KSP unpreconditioned resid norm 7.174602711349e+00 true resid norm 7.174602711351e+00 ||r(i)||/||b|| 5.179472844374e+00
  4 KSP unpreconditioned resid norm 2.479542634841e+00 true resid norm 2.479542634844e+00 ||r(i)||/||b|| 1.790025770114e+00
  5 KSP unpreconditioned resid norm 1.292819643171e+00 true resid norm 1.292819643173e+00 ||r(i)||/||b|| 9.333094115295e-01
  6 KSP unpreconditioned resid norm 7.029166655421e-01 true resid norm 7.029166655430e-01 ||r(i)||/||b|| 5.074479978213e-01
  7 KSP unpreconditioned resid norm 4.824058585798e-01 true resid norm 4.824058585847e-01 ||r(i)||/||b|| 3.482573384243e-01
  8 KSP unpreconditioned resid norm 3.376855833269e-01 true resid norm 3.376855833247e-01 ||r(i)||/||b|| 2.437812070068e-01
  9 KSP unpreconditioned resid norm 1.633723526769e-01 true resid norm 1.633723526758e-01 ||r(i)||/||b|| 1.179413966528e-01
 10 KSP unpreconditioned resid norm 9.951575578649e-02 true resid norm 9.951575577193e-02 ||r(i)||/||b|| 7.184218769252e-02
 11 KSP unpreconditioned resid norm 7.684819482683e-02 true resid norm 7.684819481958e-02 ||r(i)||/||b|| 5.547807373048e-02
 12 KSP unpreconditioned resid norm 5.164691565378e-02 true resid norm 5.164691564277e-02 ||r(i)||/||b|| 3.728482368009e-02
 13 KSP unpreconditioned resid norm 3.309193924635e-02 true resid norm 3.309193924399e-02 ||r(i)||/||b|| 2.388965738978e-02
 14 KSP unpreconditioned resid norm 2.470615288157e-02 true resid norm 2.470615288226e-02 ||r(i)||/||b|| 1.783580960381e-02
 15 KSP unpreconditioned resid norm 1.827015729143e-02 true resid norm 1.827015727973e-02 ||r(i)||/||b|| 1.318955032076e-02
 16 KSP unpreconditioned resid norm 1.145033098126e-02 true resid norm 1.145033098788e-02 ||r(i)||/||b|| 8.266196860907e-03
 17 KSP unpreconditioned resid norm 1.105801439092e-02 true resid norm 1.105801440363e-02 ||r(i)||/||b|| 7.982976566169e-03
 18 KSP unpreconditioned resid norm 1.035404257499e-02 true resid norm 1.035404258859e-02 ||r(i)||/||b|| 7.474766837229e-03
