Config file: ../input/config/mla_v_cycle-refine1.json
order_rbm = 2
angle_type = 1
==== basic information of linear system ====
matrix Row = 5340, matrix Column = 5340
matrix nz_allocated = 104619, matrix nz_used = 104619, matrix nz_unneeded = 0
vector Row = 5340
initial     || b ||_2 = 1.3851994067587832e+00
>>>>local_vec_size = 5340
>>>>~~~~ local_mat_m = 5340, local_mat_n = 5340
            || b ||_2 = 1.3851994067587832e+00
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 1 is 55, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.0513878 (s)
  0 KSP unpreconditioned resid norm 1.385199406759e+00 true resid norm 1.385199406759e+00 ||r(i)||/||b|| 1.000000000000e+00
  1 KSP unpreconditioned resid norm 2.547001118919e+01 true resid norm 2.547001118918e+01 ||r(i)||/||b|| 1.838725245254e+01
  2 KSP unpreconditioned resid norm 9.595676537090e+00 true resid norm 9.595676537090e+00 ||r(i)||/||b|| 6.927288945021e+00
  3 KSP unpreconditioned resid norm 2.646213799899e+00 true resid norm 2.646213799900e+00 ||r(i)||/||b|| 1.910348637884e+00
  4 KSP unpreconditioned resid norm 4.417091460674e-01 true resid norm 4.417091460626e-01 ||r(i)||/||b|| 3.188776604346e-01
  5 KSP unpreconditioned resid norm 1.160711699428e-01 true resid norm 1.160711699413e-01 ||r(i)||/||b|| 8.379383457353e-02
  6 KSP unpreconditioned resid norm 2.984557905699e-02 true resid norm 2.984557905210e-02 ||r(i)||/||b|| 2.154605243583e-02
  7 KSP unpreconditioned resid norm 9.206980612813e-03 true resid norm 9.206980611738e-03 ||r(i)||/||b|| 6.646682468109e-03
  8 KSP unpreconditioned resid norm 2.711902477183e-03 true resid norm 2.711902474751e-03 ||r(i)||/||b|| 1.957770456383e-03
  9 KSP unpreconditioned resid norm 5.928582726940e-04 true resid norm 5.928582787379e-04 ||r(i)||/||b|| 4.279948979513e-04
 10 KSP unpreconditioned resid norm 1.150932160237e-04 true resid norm 1.150932260596e-04 ||r(i)||/||b|| 8.308783955439e-05
 11 KSP unpreconditioned resid norm 3.221560722879e-05 true resid norm 3.221560219724e-05 ||r(i)||/||b|| 2.325701414544e-05
 12 KSP unpreconditioned resid norm 7.511508392579e-06 true resid norm 7.511508439965e-06 ||r(i)||/||b|| 5.422691060445e-06
 13 KSP unpreconditioned resid norm 2.313596874180e-06 true resid norm 2.313594614054e-06 ||r(i)||/||b|| 1.670224953003e-06
 14 KSP unpreconditioned resid norm 6.348521169027e-07 true resid norm 6.348516280092e-07 ||r(i)||/||b|| 4.583106409890e-07
 15 KSP unpreconditioned resid norm 3.462396333324e-07 true resid norm 3.462394745044e-07 ||r(i)||/||b|| 2.499564126399e-07
 16 KSP unpreconditioned resid norm 3.551693000889e-07 true resid norm 3.551732934131e-07 ||r(i)||/||b|| 2.564058948337e-07
 17 KSP unpreconditioned resid norm 3.569788216173e-07 true resid norm 3.569797496518e-07 ||r(i)||/||b|| 2.577100076062e-07
 18 KSP unpreconditioned resid norm 3.579106432244e-07 true resid norm 3.579147985039e-07 ||r(i)||/||b|| 2.583850359432e-07
