Config file: ../input/config/mla_v_cycle-refine2.json
order_rbm = 2
angle_type = 1
==== basic information of linear system ====
matrix Row = 19158, matrix Column = 19158
matrix nz_allocated = 387515, matrix nz_used = 387515, matrix nz_unneeded = 0
vector Row = 19158
initial     || b ||_2 = 7.2042734251691598e-01
>>>>local_vec_size = 19158
>>>>~~~~ local_mat_m = 19158, local_mat_n = 19158
            || b ||_2 = 7.2042734251691598e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 2 is 49, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.218341 (s)
  0 KSP unpreconditioned resid norm 7.204273425169e-01 true resid norm 7.204273425169e-01 ||r(i)||/||b|| 1.000000000000e+00
  1 KSP unpreconditioned resid norm 1.808507343960e+01 true resid norm 1.808507343960e+01 ||r(i)||/||b|| 2.510325798631e+01
  2 KSP unpreconditioned resid norm 4.944760150266e+01 true resid norm 4.944760150265e+01 ||r(i)||/||b|| 6.863648640805e+01
  3 KSP unpreconditioned resid norm 2.539824878831e+01 true resid norm 2.539824878829e+01 ||r(i)||/||b|| 3.525442093794e+01
  4 KSP unpreconditioned resid norm 9.109328539592e+00 true resid norm 9.109328539582e+00 ||r(i)||/||b|| 1.264434038241e+01
  5 KSP unpreconditioned resid norm 5.749777359625e+00 true resid norm 5.749777359621e+00 ||r(i)||/||b|| 7.981064876762e+00
  6 KSP unpreconditioned resid norm 1.816139202399e+00 true resid norm 1.816139202420e+00 ||r(i)||/||b|| 2.520919314465e+00
  7 KSP unpreconditioned resid norm 1.019665048456e+00 true resid norm 1.019665048442e+00 ||r(i)||/||b|| 1.415361394918e+00
  8 KSP unpreconditioned resid norm 5.154020979272e-01 true resid norm 5.154020979167e-01 ||r(i)||/||b|| 7.154116279319e-01
  9 KSP unpreconditioned resid norm 2.707997983390e-01 true resid norm 2.707997983263e-01 ||r(i)||/||b|| 3.758877298858e-01
 10 KSP unpreconditioned resid norm 2.051978484229e-01 true resid norm 2.051978484523e-01 ||r(i)||/||b|| 2.848279574390e-01
 11 KSP unpreconditioned resid norm 1.156461332022e-01 true resid norm 1.156461331823e-01 ||r(i)||/||b|| 1.605243531961e-01
 12 KSP unpreconditioned resid norm 9.374010843275e-02 true resid norm 9.374010845320e-02 ||r(i)||/||b|| 1.301173663477e-01
 13 KSP unpreconditioned resid norm 9.894402102322e-02 true resid norm 9.894402101170e-02 ||r(i)||/||b|| 1.373407353836e-01
 14 KSP unpreconditioned resid norm 7.976585501156e-02 true resid norm 7.976585503457e-02 ||r(i)||/||b|| 1.107201938726e-01
 15 KSP unpreconditioned resid norm 5.162543878486e-02 true resid norm 5.162543877211e-02 ||r(i)||/||b|| 7.165946616038e-02
 16 KSP unpreconditioned resid norm 3.726343822399e-02 true resid norm 3.726343822224e-02 ||r(i)||/||b|| 5.172407545230e-02
 17 KSP unpreconditioned resid norm 3.185623912569e-02 true resid norm 3.185623912685e-02 ||r(i)||/||b|| 4.421853148377e-02
 18 KSP unpreconditioned resid norm 1.929039905238e-02 true resid norm 1.929039905370e-02 ||r(i)||/||b|| 2.677632831968e-02
