Config file: ../input/config/mla_v_cycle-refine1.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 5340, matrix Column = 5340
matrix nz_allocated = 104619, matrix nz_used = 104619, matrix nz_unneeded = 0
vector Row = 5340
initial     || b ||_2 = 1.3851994067587832e+00
>>>>local_vec_size = 5340
>>>>~~~~ local_mat_m = 5340, local_mat_n = 5340
            || b ||_2 = 1.3851994067587832e+00
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 1 is 55, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.0448487 (s)
0 MLA ||r(i)||/||b|| 1.0000000000000000e+00
1 MLA ||r(i)||/||b|| 1.1465285896253718e+01
2 MLA ||r(i)||/||b|| 7.6138822949563849e+00
3 MLA ||r(i)||/||b|| 5.0236525010959152e+00
4 MLA ||r(i)||/||b|| 4.3075354764395888e+00
5 MLA ||r(i)||/||b|| 4.1313691729518185e+00
6 MLA ||r(i)||/||b|| 3.4600267551834940e+00
7 MLA ||r(i)||/||b|| 2.5705554900627723e+00
8 MLA ||r(i)||/||b|| 1.8401023095909894e+00
9 MLA ||r(i)||/||b|| 1.4399282002604290e+00
10 MLA ||r(i)||/||b|| 1.3141313128672154e+00
11 MLA ||r(i)||/||b|| 1.2949160760503646e+00
12 MLA ||r(i)||/||b|| 1.2778791573592656e+00
13 MLA ||r(i)||/||b|| 1.2375710408433875e+00
14 MLA ||r(i)||/||b|| 1.1798226918197909e+00
15 MLA ||r(i)||/||b|| 1.1148823700703168e+00
16 MLA ||r(i)||/||b|| 1.0491791910315484e+00
17 MLA ||r(i)||/||b|| 9.8503041031861038e-01
18 MLA ||r(i)||/||b|| 9.2258588312264356e-01
19 MLA ||r(i)||/||b|| 8.6155282013491297e-01
20 MLA ||r(i)||/||b|| 8.0202008871400354e-01
21 MLA ||r(i)||/||b|| 7.4454725588956083e-01
22 MLA ||r(i)||/||b|| 6.8990452160181914e-01
23 MLA ||r(i)||/||b|| 6.3876525840097831e-01
24 MLA ||r(i)||/||b|| 5.9150443112764850e-01
25 MLA ||r(i)||/||b|| 5.4814405102361397e-01
26 MLA ||r(i)||/||b|| 5.0842070219910873e-01
27 MLA ||r(i)||/||b|| 4.7191755214577374e-01
28 MLA ||r(i)||/||b|| 4.3819817116751236e-01
29 MLA ||r(i)||/||b|| 4.0689764213000162e-01
30 MLA ||r(i)||/||b|| 3.7775622509207163e-01
31 MLA ||r(i)||/||b|| 3.5060689267982159e-01
32 MLA ||r(i)||/||b|| 3.2534061531912778e-01
33 MLA ||r(i)||/||b|| 3.0187193924888278e-01
34 MLA ||r(i)||/||b|| 2.8011785660939609e-01
35 MLA ||r(i)||/||b|| 2.5999210620666635e-01
36 MLA ||r(i)||/||b|| 2.4140962665239335e-01
37 MLA ||r(i)||/||b|| 2.2429355548098703e-01
38 MLA ||r(i)||/||b|| 2.0857891955652846e-01
39 MLA ||r(i)||/||b|| 1.9421074213351866e-01
40 MLA ||r(i)||/||b|| 1.8113757654968163e-01
41 MLA ||r(i)||/||b|| 1.6930331368112014e-01
42 MLA ||r(i)||/||b|| 1.5864032498271208e-01
