Config file: ../input/config/mla_v_cycle-refine2.json
order_rbm = 2
angle_type = 1
==== basic information of linear system ====
matrix Row = 19158, matrix Column = 19158
matrix nz_allocated = 387515, matrix nz_used = 387515, matrix nz_unneeded = 0
vector Row = 19158
initial     || b ||_2 = 7.2042734251691598e-01
>>>>local_vec_size = 19158
>>>>~~~~ local_mat_m = 19158, local_mat_n = 19158
            || b ||_2 = 7.2042734251691598e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 2 is 49, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.220137 (s)
0 MLA ||r(i)||/||b|| 1.0000000000000000e+00
1 MLA ||r(i)||/||b|| 1.2402924631917369e+00
2 MLA ||r(i)||/||b|| 1.1810139359792506e+00
3 MLA ||r(i)||/||b|| 1.1123692872703506e+00
4 MLA ||r(i)||/||b|| 1.0339698362755465e+00
5 MLA ||r(i)||/||b|| 9.9107993941368211e-01
6 MLA ||r(i)||/||b|| 9.7259610886600700e-01
7 MLA ||r(i)||/||b|| 9.3820048403461653e-01
8 MLA ||r(i)||/||b|| 8.9951322733962835e-01
9 MLA ||r(i)||/||b|| 8.9799001828342384e-01
10 MLA ||r(i)||/||b|| 8.7600371705568847e-01
11 MLA ||r(i)||/||b|| 8.6650121204468167e-01
12 MLA ||r(i)||/||b|| 8.8499592386863302e-01
13 MLA ||r(i)||/||b|| 8.8311155340844538e-01
14 MLA ||r(i)||/||b|| 8.8199227459825980e-01
15 MLA ||r(i)||/||b|| 8.2950173976246990e+00
16 MLA ||r(i)||/||b|| 7.5576283332785907e+00
17 MLA ||r(i)||/||b|| 6.3879701498943398e+00
18 MLA ||r(i)||/||b|| 5.0132329149036634e+00
19 MLA ||r(i)||/||b|| 4.4077689105393061e+00
20 MLA ||r(i)||/||b|| 4.3890380168942844e+00
21 MLA ||r(i)||/||b|| 4.1870662527995819e+00
22 MLA ||r(i)||/||b|| 3.6984779834592771e+00
23 MLA ||r(i)||/||b|| 3.1717718354421796e+00
24 MLA ||r(i)||/||b|| 2.7428857772025377e+00
25 MLA ||r(i)||/||b|| 2.3665501003724421e+00
26 MLA ||r(i)||/||b|| 1.9908283959529076e+00
27 MLA ||r(i)||/||b|| 1.6387114929442723e+00
28 MLA ||r(i)||/||b|| 1.3600875146381428e+00
29 MLA ||r(i)||/||b|| 1.1734809488937210e+00
30 MLA ||r(i)||/||b|| 1.0575158959941409e+00
31 MLA ||r(i)||/||b|| 9.8028158960667566e-01
32 MLA ||r(i)||/||b|| 9.2028417347463543e-01
33 MLA ||r(i)||/||b|| 8.6615686290722271e-01
34 MLA ||r(i)||/||b|| 8.1178681686517506e-01
35 MLA ||r(i)||/||b|| 7.5469015474754531e-01
36 MLA ||r(i)||/||b|| 6.9544244327727023e-01
37 MLA ||r(i)||/||b|| 6.3633195862466085e-01
38 MLA ||r(i)||/||b|| 5.7977784407791966e-01
39 MLA ||r(i)||/||b|| 5.2739370802956820e-01
40 MLA ||r(i)||/||b|| 4.7983583606548769e-01
41 MLA ||r(i)||/||b|| 4.3707377393240299e-01
42 MLA ||r(i)||/||b|| 3.9872826596739830e-01
