Config file: ../input/config/mla_v_cycle-refine3.json
order_rbm = 2
angle_type = 1
==== basic information of linear system ====
matrix Row = 73482, matrix Column = 73482
matrix nz_allocated = 1513726, matrix nz_used = 1513726, matrix nz_unneeded = 0
vector Row = 73482
initial     || b ||_2 = 3.6456789914864118e-01
>>>>local_vec_size = 73482
>>>>~~~~ local_mat_m = 73482, local_mat_n = 73482
            || b ||_2 = 3.6456789914864118e-01
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 3 is 47, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.930815 (s)
0 MLA ||r(i)||/||b|| 1.0000000000000000e+00
1 MLA ||r(i)||/||b|| 1.2939706451691939e+00
2 MLA ||r(i)||/||b|| 1.5813618929685813e+00
3 MLA ||r(i)||/||b|| 1.3864749786787176e+00
4 MLA ||r(i)||/||b|| 7.2838319532690470e+00
5 MLA ||r(i)||/||b|| 1.0220245926396000e+01
6 MLA ||r(i)||/||b|| 1.1161566093306689e+01
7 MLA ||r(i)||/||b|| 1.1485895727751343e+01
8 MLA ||r(i)||/||b|| 1.1499508518729337e+01
9 MLA ||r(i)||/||b|| 1.1313933716083943e+01
10 MLA ||r(i)||/||b|| 1.0987100306825550e+01
11 MLA ||r(i)||/||b|| 1.0559127613596656e+01
12 MLA ||r(i)||/||b|| 1.0061831850007676e+01
13 MLA ||r(i)||/||b|| 9.5210524215832457e+00
14 MLA ||r(i)||/||b|| 8.9574447726424804e+00
15 MLA ||r(i)||/||b|| 8.3870481052292618e+00
16 MLA ||r(i)||/||b|| 7.8219293645343120e+00
17 MLA ||r(i)||/||b|| 7.2708869890062529e+00
18 MLA ||r(i)||/||b|| 6.7400660395327527e+00
19 MLA ||r(i)||/||b|| 6.2335472765511426e+00
20 MLA ||r(i)||/||b|| 5.7538278359139019e+00
21 MLA ||r(i)||/||b|| 5.3022048804435524e+00
22 MLA ||r(i)||/||b|| 4.8790959607132312e+00
23 MLA ||r(i)||/||b|| 4.4842741534272212e+00
24 MLA ||r(i)||/||b|| 4.1170577852053949e+00
25 MLA ||r(i)||/||b|| 3.7764526199828437e+00
26 MLA ||r(i)||/||b|| 3.4612576459030167e+00
27 MLA ||r(i)||/||b|| 3.1701468321353619e+00
28 MLA ||r(i)||/||b|| 2.9017285711301026e+00
29 MLA ||r(i)||/||b|| 2.6545887256216432e+00
30 MLA ||r(i)||/||b|| 2.4273224078547835e+00
31 MLA ||r(i)||/||b|| 2.2185575324405904e+00
32 MLA ||r(i)||/||b|| 2.0269690587398750e+00
33 MLA ||r(i)||/||b|| 1.8512897709102576e+00
34 MLA ||r(i)||/||b|| 1.6903171093169009e+00
35 MLA ||r(i)||/||b|| 1.5429158166522687e+00
36 MLA ||r(i)||/||b|| 1.4080199976179755e+00
37 MLA ||r(i)||/||b|| 1.2846326199801175e+00
38 MLA ||r(i)||/||b|| 1.1718242193971600e+00
39 MLA ||r(i)||/||b|| 1.0687306818822224e+00
40 MLA ||r(i)||/||b|| 9.7455084790172730e-01
41 MLA ||r(i)||/||b|| 8.8854296259821319e-01
42 MLA ||r(i)||/||b|| 8.1002199661516783e-01
