Config file: ../input/config/mla_v_cycle-refine0.json
order_rbm = 1
angle_type = 1
==== basic information of linear system ====
matrix Row = 1506, matrix Column = 1506
matrix nz_allocated = 27747, matrix nz_used = 27747, matrix nz_unneeded = 0
vector Row = 1506
initial     || b ||_2 = 2.6501139470351753e+00
>>>>local_vec_size = 1506
>>>>~~~~ local_mat_m = 1506, local_mat_n = 1506
            || b ||_2 = 2.6501139470351753e+00
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00


>>>>nodes in level 0 is 62, less than 100, setup DONE!>>>>


>>>> mla setup time: 0.0105965 (s)
0 MLA ||r(i)||/||b|| 1.0000000000000000e+00
1 MLA ||r(i)||/||b|| 1.9937857660612995e+01
2 MLA ||r(i)||/||b|| 1.1626777269045290e+01
3 MLA ||r(i)||/||b|| 6.8866085243722539e+00
4 MLA ||r(i)||/||b|| 4.2306232623711963e+00
5 MLA ||r(i)||/||b|| 2.6546400692211587e+00
6 MLA ||r(i)||/||b|| 1.6789031896639430e+00
7 MLA ||r(i)||/||b|| 1.0631992242263912e+00
8 MLA ||r(i)||/||b|| 6.7249370831112343e-01
9 MLA ||r(i)||/||b|| 4.2457778106481153e-01
10 MLA ||r(i)||/||b|| 2.6757254490332988e-01
11 MLA ||r(i)||/||b|| 1.6836813263742242e-01
12 MLA ||r(i)||/||b|| 1.0581490368780029e-01
13 MLA ||r(i)||/||b|| 6.6438991582955964e-02
14 MLA ||r(i)||/||b|| 4.1685725496472453e-02
15 MLA ||r(i)||/||b|| 2.6140710075195379e-02
16 MLA ||r(i)||/||b|| 1.6385979946123317e-02
17 MLA ||r(i)||/||b|| 1.0268267582267135e-02
18 MLA ||r(i)||/||b|| 6.4331699486029374e-03
19 MLA ||r(i)||/||b|| 4.0297741446744164e-03
20 MLA ||r(i)||/||b|| 2.5239596349110015e-03
21 MLA ||r(i)||/||b|| 1.5806787384153209e-03
22 MLA ||r(i)||/||b|| 9.8986071656758973e-04
23 MLA ||r(i)||/||b|| 6.1984185387421525e-04
24 MLA ||r(i)||/||b|| 3.8812320295358681e-04
25 MLA ||r(i)||/||b|| 2.4302091555684390e-04
26 MLA ||r(i)||/||b|| 1.5216186501209727e-04
27 MLA ||r(i)||/||b|| 9.5270552591652288e-05
28 MLA ||r(i)||/||b|| 5.9649020626297820e-05
29 MLA ||r(i)||/||b|| 3.7345484556616852e-05
30 MLA ||r(i)||/||b|| 2.3381300357520097e-05
31 MLA ||r(i)||/||b|| 1.4638269691832242e-05
32 MLA ||r(i)||/||b|| 9.8035841905021127e-06
33 MLA ||r(i)||/||b|| 6.7808880274089742e-06
34 MLA ||r(i)||/||b|| 4.5482848950663516e-06
35 MLA ||r(i)||/||b|| 4.3034510991047493e-06
36 MLA ||r(i)||/||b|| 3.2429196968260089e-06
37 MLA ||r(i)||/||b|| 2.2518909475556475e-06
38 MLA ||r(i)||/||b|| 4.0717706090989997e-06
39 MLA ||r(i)||/||b|| 4.0717703056265646e-06
40 MLA ||r(i)||/||b|| 4.0717709791003654e-06
41 MLA ||r(i)||/||b|| 4.0716555351378983e-06
42 MLA ||r(i)||/||b|| 4.0716563724675343e-06
