Config file: ../input/config/comsol-model/spherical-shell/dof-684.json
==== basic information of linear system ====
matrix Row = 684, matrix Column = 684
matrix nz_allocated = 23256, matrix nz_used = 23256, matrix nz_unneeded = 0
vector Row = 684
initial     || b ||_2 = 5.0000000000000000e+03
==== Initial L2 norm of residual
            || b ||_2 = 5.0000000000000000e+03
|| r ||_2 / || b ||_2 = 1.0000000000000000e+00
Partitioning a graph of size 114 serially
      Setup: Max:   0.000, Sum:   0.002, Balance:   1.001
      Remap: Max:   0.000, Sum:   0.000, Balance:   2.000
      Total: Max:   0.005, Sum:   0.021, Balance:   1.000
       Aux1: Max:   0.000, Sum:   0.000, Balance:   1.073
Final  28-way Cut:    165 	Balance: 1.228 
==== Smoothed Aggregation-based Multigrid
>>>> samg setup time: 0.0349588 (s)
  0 KSP preconditioned resid norm 1.138530817423e-05 true resid norm 5.000000000000e+03 ||r(i)||/||b|| 1.000000000000e+00
  1 KSP preconditioned resid norm 1.739766630074e-06 true resid norm 6.818986219658e+03 ||r(i)||/||b|| 1.363797243932e+00
  2 KSP preconditioned resid norm 3.647524512587e-06 true resid norm 7.988819061322e+03 ||r(i)||/||b|| 1.597763812264e+00
  3 KSP preconditioned resid norm 2.092641684214e-06 true resid norm 7.277071053705e+03 ||r(i)||/||b|| 1.455414210741e+00
  4 KSP preconditioned resid norm 1.353305963461e-06 true resid norm 7.605409188915e+03 ||r(i)||/||b|| 1.521081837783e+00
  5 KSP preconditioned resid norm 1.287484713239e-06 true resid norm 6.036316070368e+03 ||r(i)||/||b|| 1.207263214074e+00
  6 KSP preconditioned resid norm 1.285535774565e-06 true resid norm 5.763881273300e+03 ||r(i)||/||b|| 1.152776254660e+00
  7 KSP preconditioned resid norm 1.435881390158e-06 true resid norm 5.678851091947e+03 ||r(i)||/||b|| 1.135770218389e+00
  8 KSP preconditioned resid norm 1.883313879894e-06 true resid norm 5.802566746380e+03 ||r(i)||/||b|| 1.160513349276e+00
  9 KSP preconditioned resid norm 1.922761166358e-06 true resid norm 5.578023911292e+03 ||r(i)||/||b|| 1.115604782258e+00
 10 KSP preconditioned resid norm 9.508816108449e-07 true resid norm 6.217932094842e+03 ||r(i)||/||b|| 1.243586418968e+00
 11 KSP preconditioned resid norm 1.176244877694e-06 true resid norm 5.414151694550e+03 ||r(i)||/||b|| 1.082830338910e+00
 12 KSP preconditioned resid norm 1.220777222203e-06 true resid norm 5.877888931312e+03 ||r(i)||/||b|| 1.175577786262e+00
 13 KSP preconditioned resid norm 9.457707744835e-07 true resid norm 5.316285837743e+03 ||r(i)||/||b|| 1.063257167549e+00
 14 KSP preconditioned resid norm 8.140946787924e-07 true resid norm 5.752079894509e+03 ||r(i)||/||b|| 1.150415978902e+00
 15 KSP preconditioned resid norm 6.252840811782e-07 true resid norm 5.305807003972e+03 ||r(i)||/||b|| 1.061161400794e+00
 16 KSP preconditioned resid norm 7.037783214339e-07 true resid norm 6.185460455793e+03 ||r(i)||/||b|| 1.237092091159e+00
 17 KSP preconditioned resid norm 6.446107871485e-07 true resid norm 6.624358252405e+03 ||r(i)||/||b|| 1.324871650481e+00
 18 KSP preconditioned resid norm 6.095321436003e-07 true resid norm 5.243501804639e+03 ||r(i)||/||b|| 1.048700360928e+00
 19 KSP preconditioned resid norm 4.630933531858e-07 true resid norm 4.910244497349e+03 ||r(i)||/||b|| 9.820488994699e-01
 20 KSP preconditioned resid norm 4.471322533494e-07 true resid norm 3.953358544534e+03 ||r(i)||/||b|| 7.906717089069e-01
 21 KSP preconditioned resid norm 3.140624668592e-07 true resid norm 3.939745543074e+03 ||r(i)||/||b|| 7.879491086147e-01
 22 KSP preconditioned resid norm 4.541031394334e-07 true resid norm 3.399677713410e+03 ||r(i)||/||b|| 6.799355426821e-01
 23 KSP preconditioned resid norm 7.531461197487e-07 true resid norm 4.576675935596e+03 ||r(i)||/||b|| 9.153351871191e-01
 24 KSP preconditioned resid norm 3.154237163847e-07 true resid norm 4.578535003824e+03 ||r(i)||/||b|| 9.157070007648e-01
 25 KSP preconditioned resid norm 3.549959693444e-07 true resid norm 4.740993078009e+03 ||r(i)||/||b|| 9.481986156019e-01
 26 KSP preconditioned resid norm 4.815582427588e-07 true resid norm 6.696458820120e+03 ||r(i)||/||b|| 1.339291764024e+00
 27 KSP preconditioned resid norm 8.908968700780e-07 true resid norm 7.857744053022e+03 ||r(i)||/||b|| 1.571548810604e+00
 28 KSP preconditioned resid norm 9.374474753695e-07 true resid norm 9.568938185761e+03 ||r(i)||/||b|| 1.913787637152e+00
 29 KSP preconditioned resid norm 7.816416675563e-07 true resid norm 9.987395235341e+03 ||r(i)||/||b|| 1.997479047068e+00
 30 KSP preconditioned resid norm 1.052010808637e-06 true resid norm 9.053324134164e+03 ||r(i)||/||b|| 1.810664826833e+00
 31 KSP preconditioned resid norm 6.339671130440e-07 true resid norm 6.219919744248e+03 ||r(i)||/||b|| 1.243983948850e+00
 32 KSP preconditioned resid norm 6.528731074028e-07 true resid norm 4.244511448618e+03 ||r(i)||/||b|| 8.489022897236e-01
 33 KSP preconditioned resid norm 3.949196209185e-07 true resid norm 2.952430245118e+03 ||r(i)||/||b|| 5.904860490237e-01
 34 KSP preconditioned resid norm 2.167305362768e-07 true resid norm 2.037772557421e+03 ||r(i)||/||b|| 4.075545114842e-01
 35 KSP preconditioned resid norm 1.930610926446e-07 true resid norm 1.727764369341e+03 ||r(i)||/||b|| 3.455528738683e-01
 36 KSP preconditioned resid norm 1.641548270248e-07 true resid norm 1.442776740642e+03 ||r(i)||/||b|| 2.885553481283e-01
 37 KSP preconditioned resid norm 9.545082408394e-08 true resid norm 1.195499266761e+03 ||r(i)||/||b|| 2.390998533522e-01
 38 KSP preconditioned resid norm 6.280467716980e-08 true resid norm 8.292441010070e+02 ||r(i)||/||b|| 1.658488202014e-01
